name,command,source_commit,rc,elapsed_seconds,stderr_bytes,stderr_sha256,seed,gpu_jobs,api_calls,model_fits
producer_a,"[""/research/d7/spc/yzyang4/venvs/critic-blackwell-g0-20260903-selective/bin/python"", ""-B"", ""-m"", ""phase1.historical_global_local_source_gate""]",7cd5862746e32a4e435fb592c6af2f93158e4f56,0,38.679626585915685,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,not_applicable,0,0,0
producer_b,"[""/research/d7/spc/yzyang4/venvs/critic-blackwell-g0-20260903-selective/bin/python"", ""-B"", ""-m"", ""phase1.historical_global_local_source_gate""]",7cd5862746e32a4e435fb592c6af2f93158e4f56,0,38.33174763713032,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,not_applicable,0,0,0
verifier_a,"[""/research/d7/spc/yzyang4/venvs/critic-blackwell-g0-20260903-selective/bin/python"", ""-B"", ""-m"", ""phase1.verify_historical_global_local_source_gate"", ""--receipt"", ""/tmp/gl-source-applicability-20260904-fivm98/results/producer_a.json"", ""--expect-receipt-sha256"", ""e34d9f1432fe71bc4c9de8e9074dc47eaf84569f94478e06f1070c778146bb07""]",7cd5862746e32a4e435fb592c6af2f93158e4f56,0,38.66374727804214,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,not_applicable,0,0,0
verifier_b,"[""/research/d7/spc/yzyang4/venvs/critic-blackwell-g0-20260903-selective/bin/python"", ""-B"", ""-m"", ""phase1.verify_historical_global_local_source_gate"", ""--receipt"", ""/tmp/gl-source-applicability-20260904-fivm98/results/producer_a.json"", ""--expect-receipt-sha256"", ""e34d9f1432fe71bc4c9de8e9074dc47eaf84569f94478e06f1070c778146bb07""]",7cd5862746e32a4e435fb592c6af2f93158e4f56,0,39.984994446858764,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,not_applicable,0,0,0
