execution_id,kind,source_commit,input_sha256,learning_seed,warmup,rows,unique_sources,unique_same_date,unique_cross_date,ambiguous_sources,missing_sources,resolved_ambiguous,resolved_missing,model_fits,new_gpu_jobs,receipt_sha256
A,historical_header_metadata_diagnostic,7083668352f924860da4613c4dd2724cd3570c37,60846a3a68f4cc9644ad676aa89e0d250b5fb8c0a3b8f6c1a708f2b5d0fb3e4d,not_applicable,not_applicable,676,636,537,99,32,8,0,0,0,0,6c7ce58883fb451e1be9d7f6646ff4129d0fa387f52b7894da85e5df3e956b07
B,historical_header_metadata_diagnostic,7083668352f924860da4613c4dd2724cd3570c37,60846a3a68f4cc9644ad676aa89e0d250b5fb8c0a3b8f6c1a708f2b5d0fb3e4d,not_applicable,not_applicable,676,636,537,99,32,8,0,0,0,0,6c7ce58883fb451e1be9d7f6646ff4129d0fa387f52b7894da85e5df3e956b07
