parent,run_id,task,policy,n_children,n_artifact,n_silent,top1_expected,raw_regret,escalated_expected,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,random_expected,3,0,3,0.3333333333333333,0.04712666666666665,1.0,360.4,1355.3276376724243,812.1758792241415,692.1758792241415
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,stdout_tfidf,3,0,3,1.0,0.0,1.0,360.4,1355.3276376724243,1234.788841867447,1114.788841867447
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_scalar_run_oof,3,0,3,1.0,0.0,1.0,360.4,1355.3276376724243,1234.788841867447,1114.788841867447
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_text_run_oof,3,0,3,0.0,0.0017899999999999583,1.0,360.4,1355.3276376724243,656.1977492809295,536.1977492809295
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_combined_run_oof,3,0,3,1.0,0.0,1.0,360.4,1355.3276376724243,1234.788841867447,1114.788841867447
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_scalar_loto,3,0,3,0.0,0.13959,1.0,360.4,1355.3276376724243,545.5410465240478,425.54104652404783
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_text_loto,3,0,3,0.0,0.13959,1.0,360.4,1355.3276376724243,545.5410465240478,425.54104652404783
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_combined_loto,3,0,3,0.0,0.13959,1.0,360.4,1355.3276376724243,545.5410465240478,425.54104652404783
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,oracle_top1,3,0,3,1.0,0.0,1.0,360.4,1355.3276376724243,1234.788841867447,1114.788841867447
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,all_escalate,3,0,3,1.0,0.0,3.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,full_external,3,0,3,1.0,0.0,3.0,360.4,1355.3276376724243,1355.3276376724243,1355.3276376724243
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,random_expected,3,0,3,0.3333333333333333,0.01060999999999997,1.0,136.4,6553.884172439575,2321.028057479858,2201.028057479858
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,stdout_tfidf,3,0,3,0.0,0.019979999999999998,1.0,136.4,6553.884172439575,2151.788067007065,2031.788067007065
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_scalar_run_oof,3,0,3,0.0,0.011849999999999916,1.0,136.4,6553.884172439575,2657.284269952774,2537.284269952774
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_text_run_oof,3,0,3,0.0,0.011849999999999916,1.0,136.4,6553.884172439575,2657.284269952774,2537.284269952774
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,top1_combined_run_oof,3,0,3,0.0,0.011849999999999916,1.0,136.4,6553.884172439575,2657.284269952774,2537.284269952774
