code_sha256,execution_seconds,exit_code,independent_score,index,node,raw_code_sha256,run,score,seed,status,task,timed_out,valid,wall_seconds
6a2a35a7237160ee71a2a74a9c30d4a3f564ff76529494d9c6bd76edfd7f4259,86.02972744501312,0,0.7418421234225129,0,c2caa321fede456e903b64cb715aa825,6a2a35a7237160ee71a2a74a9c30d4a3f564ff76529494d9c6bd76edfd7f4259,5c3f818a9595bd79,0.74184,1,returned,random-acts-of-pizza,False,True,87.09747589100152
573933c0c746d34c4e26287c84791ceea65a5431a6ffe9877d0ef44d19b99b95,12.706241275998764,1,,1,553b31e102de448c833738c3a127803f,573933c0c746d34c4e26287c84791ceea65a5431a6ffe9877d0ef44d19b99b95,1eee3186d26dcbcd,,2,returned,random-acts-of-pizza,False,False,13.75129451000248
