run_id,task,arm,seed,source_tree,controller_commit,execution_timeout_seconds,step_limit,worker_wall_cap_seconds,api_calls,settled_api_cost_usd,unresolved_api_calls,accounted_api_liability_usd,total_api_cost_usd,task_calls,exit_zero_calls,buggy_nodes,generated_candidates,failure_categories,comparable_final
00-leaf-classification-s12-uniform_random,leaf-classification,uniform_random,12,35711518b3b7262bccd3bebfdd2b4a4b7c726715,aa4f13c2cc480f7ead84b1970b3511c5b6dd6a30,300,6,3540,15,0.031420311,0,0.031420311,0.031420311,5,0,5,8,"{'execution_timeout': 3, 'other_code_error': 2}",False
01-leaf-classification-s12-critic_topk_random,leaf-classification,critic_topk_random,12,35711518b3b7262bccd3bebfdd2b4a4b7c726715,aa4f13c2cc480f7ead84b1970b3511c5b6dd6a30,300,6,3540,15,0.025891086,0,0.025891086,0.025891086,5,3,3,8,{'execution_timeout': 2},True
02-spaceship-titanic-s12-critic_topk_random,spaceship-titanic,critic_topk_random,12,35711518b3b7262bccd3bebfdd2b4a4b7c726715,aa4f13c2cc480f7ead84b1970b3511c5b6dd6a30,300,6,3540,15,0.038064936,0,0.038064936,0.038064936,5,1,4,8,"{'other_code_error': 3, 'pandas_categorical_assignment': 1}",True
03-spaceship-titanic-s12-uniform_random,spaceship-titanic,uniform_random,12,35711518b3b7262bccd3bebfdd2b4a4b7c726715,aa4f13c2cc480f7ead84b1970b3511c5b6dd6a30,300,6,3540,17,0.048390186,0,0.048390186,0.048390186,5,1,4,10,"{'missing_target_column': 1, 'other_code_error': 2, 'pandas_categorical_assignment': 1}",True
