run_id,task,cards,graded_cards,legal_parent_child_edges,observed_components,closed_nodes,branch_points,closed_branch_points,deep_closed_branch_points,max_closed_depth_to_leaf
cards_ours_20260727.jsonl:13,nomad2018-predict-transparent-conductors,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:130,tabular-playground-series-may-2022,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:131,tabular-playground-series-may-2022,9,9,2,7,8,1,0,0,0
cards_ours_20260727.jsonl:132,tabular-playground-series-may-2022,10,10,2,8,9,1,0,0,0
cards_ours_20260727.jsonl:133,tabular-playground-series-may-2022,8,8,2,6,7,1,0,0,0
cards_ours_20260727.jsonl:134,tabular-playground-series-may-2022,8,8,1,7,7,0,0,0,0
cards_ours_20260727.jsonl:135,tabular-playground-series-may-2022,8,8,1,7,7,0,0,0,0
cards_ours_20260727.jsonl:136,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:137,tabular-playground-series-may-2022,10,10,3,7,9,1,0,0,0
cards_ours_20260727.jsonl:138,tabular-playground-series-may-2022,7,7,2,5,6,1,0,0,0
cards_ours_20260727.jsonl:139,tabular-playground-series-may-2022,8,8,1,7,7,0,0,0,0
cards_ours_20260727.jsonl:14,nomad2018-predict-transparent-conductors,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:140,tabular-playground-series-may-2022,10,10,2,8,9,1,0,0,0
cards_ours_20260727.jsonl:141,nomad2018-predict-transparent-conductors,5,5,0,5,4,0,0,0,0
cards_ours_20260727.jsonl:142,nomad2018-predict-transparent-conductors,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:143,nomad2018-predict-transparent-conductors,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:144,nomad2018-predict-transparent-conductors,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:145,nomad2018-predict-transparent-conductors,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:146,nomad2018-predict-transparent-conductors,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:147,nomad2018-predict-transparent-conductors,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:148,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:149,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:15,spaceship-titanic,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:150,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:151,tabular-playground-series-dec-2021,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:152,nomad2018-predict-transparent-conductors,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:153,nomad2018-predict-transparent-conductors,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:154,tabular-playground-series-may-2022,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:155,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:156,spaceship-titanic,18,18,6,12,16,1,0,0,1
cards_ours_20260727.jsonl:157,spaceship-titanic,11,11,2,9,10,1,0,0,0
cards_ours_20260727.jsonl:158,spaceship-titanic,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:159,spaceship-titanic,11,11,2,9,10,1,0,0,0
cards_ours_20260727.jsonl:16,spaceship-titanic,11,11,10,1,11,0,0,0,10
cards_ours_20260727.jsonl:160,spaceship-titanic,18,18,3,15,14,0,0,0,0
cards_ours_20260727.jsonl:161,spaceship-titanic,20,20,5,15,16,1,0,0,0
cards_ours_20260727.jsonl:162,spaceship-titanic,13,13,1,12,11,0,0,0,0
cards_ours_20260727.jsonl:163,spaceship-titanic,15,15,4,11,13,2,0,0,0
cards_ours_20260727.jsonl:164,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:165,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:166,aerial-cactus-identification,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:167,spaceship-titanic,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:168,petfinder-pawpularity-score,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:169,us-patent-phrase-to-phrase-matching,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:17,nomad2018-predict-transparent-conductors,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:170,google-quest-challenge,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:171,learning-agency-lab-automated-essay-scoring-2,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:172,learning-agency-lab-automated-essay-scoring-2,1,1,0,1,1,0,0,0,0
cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:174,spaceship-titanic,20,20,1,19,19,0,0,0,0
cards_ours_20260727.jsonl:18,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:19,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:2,spaceship-titanic,3,3,1,2,3,0,0,0,1
cards_ours_20260727.jsonl:20,tabular-playground-series-dec-2021,5,5,0,5,4,0,0,0,0
cards_ours_20260727.jsonl:21,tabular-playground-series-may-2022,5,5,0,5,4,0,0,0,0
cards_ours_20260727.jsonl:22,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:23,tabular-playground-series-dec-2021,10,10,2,8,9,0,0,0,1
cards_ours_20260727.jsonl:24,tabular-playground-series-may-2022,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:25,tabular-playground-series-dec-2021,7,7,0,7,6,0,0,0,0
cards_ours_20260727.jsonl:26,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:27,tabular-playground-series-may-2022,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:28,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:29,tabular-playground-series-may-2022,6,6,1,5,5,0,0,0,0
cards_ours_20260727.jsonl:3,spaceship-titanic,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:30,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:31,tabular-playground-series-may-2022,7,7,2,5,6,1,0,0,0
cards_ours_20260727.jsonl:32,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:33,tabular-playground-series-may-2022,8,8,3,5,7,1,0,0,0
cards_ours_20260727.jsonl:34,tabular-playground-series-dec-2021,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:35,tabular-playground-series-may-2022,6,6,0,6,5,0,0,0,0
cards_ours_20260727.jsonl:36,tabular-playground-series-dec-2021,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:37,tabular-playground-series-may-2022,10,10,2,8,9,1,0,0,0
cards_ours_20260727.jsonl:38,tabular-playground-series-dec-2021,6,6,0,6,5,0,0,0,0
cards_ours_20260727.jsonl:39,tabular-playground-series-may-2022,10,10,5,5,10,1,1,0,1
cards_ours_20260727.jsonl:4,spaceship-titanic,2,2,0,2,2,0,0,0,0
cards_ours_20260727.jsonl:40,tabular-playground-series-dec-2021,3,3,0,3,3,0,0,0,0
cards_ours_20260727.jsonl:41,tabular-playground-series-dec-2021,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:42,tabular-playground-series-may-2022,7,7,1,6,6,0,0,0,0
cards_ours_20260727.jsonl:43,spooky-author-identification,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:44,leaf-classification,12,12,6,6,10,2,0,0,0
cards_ours_20260727.jsonl:45,leaf-classification,10,10,4,6,9,1,0,0,0
cards_ours_20260727.jsonl:46,spooky-author-identification,10,10,2,8,9,1,0,0,0
cards_ours_20260727.jsonl:47,random-acts-of-pizza,11,11,2,9,10,0,0,0,1
cards_ours_20260727.jsonl:48,text-normalization-challenge-english-language,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:49,text-normalization-challenge-english-language,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:5,spaceship-titanic,10,10,4,6,8,1,0,0,0
cards_ours_20260727.jsonl:50,random-acts-of-pizza,11,11,2,9,9,0,0,0,0
cards_ours_20260727.jsonl:51,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:52,google-quest-challenge,4,4,0,4,4,0,0,0,0
cards_ours_20260727.jsonl:53,google-quest-challenge,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:54,tabular-playground-series-may-2022,9,9,3,6,8,1,0,0,0
cards_ours_20260727.jsonl:55,petfinder-pawpularity-score,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:56,petfinder-pawpularity-score,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:57,mlsp-2013-birds,5,5,1,4,5,0,0,0,1
cards_ours_20260727.jsonl:58,whale-categorization-playground,9,9,2,7,7,0,0,0,2
cards_ours_20260727.jsonl:59,whale-categorization-playground,5,5,0,5,5,0,0,0,0
cards_ours_20260727.jsonl:6,spaceship-titanic,10,10,3,7,9,1,0,0,0
cards_ours_20260727.jsonl:60,mlsp-2013-birds,2,2,0,2,2,0,0,0,0
