run_id,n_cards,n_usable,brier_task,brier_main,brier_gain
cards_gen2C.jsonl:2,3,3,0.042651228733459369,0.059918355477385443,-0.017267126743926074
cards_gen3A.jsonl:3,5,5,0.059716154779938378,0.045084063569844568,0.01463209121009381
cards_ours_20260727.jsonl:114,3,0,0.008310185891761546,0.015000793947276317,-0.0066906080555147705
cards_ours_20260727.jsonl:116,3,0,0.024589387340861506,0.032416849832827881,-0.0078274624919663742
cards_ours_20260727.jsonl:133,2,0,0.0079435436465949208,0.010195506724332087,-0.0022519630777371666
cards_ours_20260727.jsonl:140,2,0,0.0082046838899390902,0.013678164359166505,-0.0054734804692274149
cards_ours_20260727.jsonl:173,2,2,0.80979406343437943,0.70708737064650751,0.10270669278787192
cards_ours_20260727.jsonl:3,2,2,0.39146100832165642,0.43808275469036806,-0.046621746368711636
cards_ours_20260727.jsonl:68,3,3,0.058039041392965542,0.027296279088084574,0.030742762304880968
cards_ours_20260727.jsonl:69,2,2,0.058039041392965542,0.025068483010023717,0.032970558382941828
cards_ours_20260727.jsonl:78,2,0,0.016081180424280615,0.011894068946526589,0.0041871114777540259
cards_senior_0726.jsonl:10,2,2,0.30341466887205221,0.29377573951221114,0.0096389293598410641
cards_senior_0727.jsonl:11,2,0,0.028842286584544324,0.018141957600278404,0.010700328984265921
cards_senior_0727.jsonl:16,2,0,0.015569345547326042,0.013980776839900488,0.0015885687074255542
cards_senior_0728.jsonl:13,2,0,0.010022896386324484,0.010882565360765059,-0.0008596689744405743
cards_senior_0728.jsonl:18,3,0,0.3193935465745289,0.2637070456922157,0.055686500882313195
cards_senior_0730.jsonl:0,4,1,0.26924544427825775,0.30096198056609402,-0.031716536287836272
cards_senior_0730.jsonl:4,2,2,0.4621400604365879,0.52610996669374488,-0.063969906257156983
cards_senior_0730.jsonl:5,6,6,0.066642544896030234,0.04576266642872482,0.020879878467305414
cards_senior_0731.jsonl:13,8,0,0.028842286584544324,0.020062385929050255,0.008779900655494069
cards_senior_0731.jsonl:8,12,2,0.18172120919373669,0.14251169270965189,0.0392095164840848
cards_senior_0801.jsonl:13,5,0,0.046505412029364701,0.025673134196447484,0.020832277832917218
cards_senior_0801.jsonl:18,9,0,0.074575979776850154,0.048386848517894626,0.026189131258955528
cards_senior_0801.jsonl:29,8,0,0.024589387340861503,0.020597095215113791,0.0039922921257477123
cards_senior_0801.jsonl:38,2,0,0.073842155009451821,0.074730533795394544,-0.00088837878594272279
cards_senior_0801.jsonl:4,4,4,0.050043867323526427,0.036925906499075879,0.013117960824450547
cards_senior_0801.jsonl:6,3,3,0.066642544896030234,0.035941172312435356,0.030701372583594878
cards_senior_0802.jsonl:4,14,8,0.28065984380382597,0.27723128096545463,0.0034285628383713407
cards_senior_0803.jsonl:3,7,4,0.4061792353500645,0.45267150926286021,-0.046492273912795701
cards_senior_0803.jsonl:6,4,0,0.17773294336638248,0.19177772289758727,-0.014044779531204782
cards_senior_0804.jsonl:10,4,0,0.044669945623001715,0.031330444508682116,0.013339501114319599
cards_senior_0804.jsonl:23,2,0,0.015569345547326042,0.009133204529162043,0.0064361410181639992
cards_senior_0804.jsonl:24,2,0,0.015569345547326042,0.011167803882365646,0.0044015416649603959
cards_senior_0805seq.jsonl:17,4,2,0.26163367859419917,0.2588154822467193,0.0028181963474798732
cards_senior_0805seq.jsonl:19,8,6,0.29325472058955976,0.27662683293144691,0.01662788765811285
cards_senior_0806.jsonl:1,2,1,0.28233121933742428,0.29018643600542599,-0.0078552166680017077
cards_senior_0806.jsonl:13,4,0,0.043248182075905674,0.028280458040901225,0.014967724035004449
cards_senior_0806.jsonl:24,4,0,0.020951904006414532,0.014042119117895619,0.0069097848885189134
cards_senior_0806.jsonl:8,2,0,0.13959666706919455,0.059718993928609292,0.079877673140585248
cards_senior_0807.jsonl:22,2,0,0.043085391070739061,0.038908299269014693,0.0041770918017243683
cards_senior_0807.jsonl:23,2,0,0.073842155009451821,0.072361102166137961,0.0014810528433138598
cards_senior_0808.jsonl:22,8,0,0.071491892819354294,0.064420073863959315,0.007071818955394979
cards_senior_0808.jsonl:23,2,0,0.020951904006414532,0.014202260137789489,0.006749643868625043
cards_senior_0808.jsonl:31,6,0,0.027471688898385273,0.024546218034736094,0.0029254708636491794
cards_senior_0808.jsonl:33,2,1,0.2657925591237954,0.23614220353642779,0.029650355587367616
cards_senior_0808.jsonl:34,13,13,0.39146100832165648,0.36447799547066306,0.026983012850993415
cards_senior_0808.jsonl:4,12,11,0.36833738004393579,0.44066377415221153,-0.072326394108275738
cards_senior_0808.jsonl:8,2,0,0.13513529382009482,0.1040473004054486,0.031087993414646214
cards_senior_0809.jsonl:0,10,0,0.073842155009451821,0.048107319831250467,0.025734835178201354
cards_senior_0809.jsonl:23,6,0,0.14012410992593441,0.10192139666010293,0.038202713265831481
cards_senior_0809.jsonl:3,2,0,0.015737207898151365,0.034467521162303928,-0.018730313264152563
cards_t3era_missing.jsonl:14,3,3,0.050043867323526427,0.048657085669176064,0.0013867816543503622
