leg,commit,started_utc,ended_utc,elapsed_seconds,exit_code,selected_runs,complete_prefix_runs,seed
A,79164e047b46f7d76db38a89407d1b008c19221a,2026-09-05T17:10:57Z,2026-09-05T17:11:58Z,61.0,0,84,0,not_applicable_no_sampling
B,79164e047b46f7d76db38a89407d1b008c19221a,2026-09-05T17:11:58Z,2026-09-05T17:12:59Z,61.0,0,84,0,not_applicable_no_sampling
