arm,index,seed,task,score,valid,status,wall_seconds,selected_index,submission_sha256,source_commit,source_tree,budget_seconds,api_cost_usd,job
classic_random_search,0,42,leaf-classification,0.04116,True,completed,270.822647409,9,48d2f2c582974ce2a0aaf7aaa6fae8f258aaddbea55234e3cd6137b24a59ce73,0e07a9779014df3b4374f520ab2527df018933fa,8bb325fa167a9db54656dd6535ce1f3d69859c22,1200,0,13284
classic_random_search,1,42,spaceship-titanic,0.78736,True,completed,275.449892966,43,62b4161834bf5e15751ccbc907a4ffe9681b87ea8d99333723a9578ed0aa116a,0e07a9779014df3b4374f520ab2527df018933fa,8bb325fa167a9db54656dd6535ce1f3d69859c22,1200,0,13284
classic_random_search,2,43,leaf-classification,0.05948,True,completed,292.523665136,46,f03ab5237aa8ac59fede3062d3f8573bd2a4955fddb1634ef2319654ffa76e9b,0e07a9779014df3b4374f520ab2527df018933fa,8bb325fa167a9db54656dd6535ce1f3d69859c22,1200,0,13284
classic_random_search,3,43,spaceship-titanic,0.8,True,completed,229.734500356,33,2c9c4b1ff142b037b50c8ecb314f270caa00a49a59cc8697b710fc73fb4d505b,0e07a9779014df3b4374f520ab2527df018933fa,8bb325fa167a9db54656dd6535ce1f3d69859c22,1200,0,13284
classic_random_search,4,44,leaf-classification,0.05948,True,completed,234.310554025,62,0d5e0867e7af2b6bdd39abbc81b08688e2feb74bd01bdd5ce07b553a98d9801a,0e07a9779014df3b4374f520ab2527df018933fa,8bb325fa167a9db54656dd6535ce1f3d69859c22,1200,0,13284
classic_random_search,5,44,spaceship-titanic,0.79425,True,completed,226.162336068,14,8b980d8988b0b44dbc486a5e31b9c80c69ccb0d969d616b0c139292847395b25,0e07a9779014df3b4374f520ab2527df018933fa,8bb325fa167a9db54656dd6535ce1f3d69859c22,1200,0,13284
classic_random_search,6,45,leaf-classification,0.06806,True,completed,286.764273672,31,e68a3840df83c97ca82da4c81e244b845784886c5d59557f9b28561fac0c28cd,0e07a9779014df3b4374f520ab2527df018933fa,8bb325fa167a9db54656dd6535ce1f3d69859c22,1200,0,13284
classic_random_search,7,45,spaceship-titanic,0.78506,True,completed,234.503293073,18,1fb43873713a173805d5d6410dbe2b9b24c7c76523f8dfb5b96d1293beaaf97e,0e07a9779014df3b4374f520ab2527df018933fa,8bb325fa167a9db54656dd6535ce1f3d69859c22,1200,0,13284
