name,source_commit,command,rc,seconds,stderr_bytes,stderr_sha256,new_gpu_jobs,model_fits,api_calls
producer_a,586cdc94a13fd0f8467d32d4bf246df4b0dd0a85,"[""/research/d7/spc/yzyang4/venvs/exp/bin/python"", ""-B"", ""-m"", ""phase1.historical_reuse_execution_readiness""]",0,110.65613516326994,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0
producer_b,586cdc94a13fd0f8467d32d4bf246df4b0dd0a85,"[""/research/d7/spc/yzyang4/venvs/exp/bin/python"", ""-B"", ""-m"", ""phase1.historical_reuse_execution_readiness""]",0,104.20196581818163,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0
