block,allocation_id,node,state,observed_utc,elapsed_seconds,allocated_gpus,gpu_hours,service_startup_seconds,proposed_allocation_minutes,nominal_budget_exceeded
1,13088,gpu28,COMPLETED,2026-09-11T20:17:25.421359+00:00,3135,2,1.7416666666666667,222.3228821347002,280,False
2,13112,gpu28,COMPLETED,2026-09-11T20:17:25.611096+00:00,2730,2,1.5166666666666666,237.09508771984838,280,False
