pair_index,left_id,right_id,left_runtime_s,right_runtime_s,serial_runtime_s,ideal_parallel_runtime_s,complete
29,tabular-playground-series-may-2022__624be134a3024780a6d1fbaa7b21a196,tabular-playground-series-may-2022__887081d24fc5480f921205a4029b99f7,1477.3934926986694,1015.0409164428711,2492.4344091415405,1477.3934926986694,1
30,tabular-playground-series-may-2022__63bb3182d23844efb65f5c6f635880c0,tabular-playground-series-may-2022__ee7c57076442408ab0cd8deda21efe3d,630.1603670120239,435.87008237838745,1066.0304493904114,630.1603670120239,1
31,tabular-playground-series-may-2022__522bfaba5a4b4e688de440a0adff59e9,tabular-playground-series-may-2022__e430f4c6a45d4b39988328162c33f548,1277.1915998458862,785.7066535949707,2062.898253440857,1277.1915998458862,1
32,chaii-hindi-and-tamil-question-answering__463ad7dc1f7b4afe96a64bcfaba5d002,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,111.1891480833292,19.537899859249592,130.7270479425788,111.1891480833292,1
33,petfinder-pawpularity-score__4ce97140036344a79a85ac9bc624f0b6,petfinder-pawpularity-score__567f7de3800242db9a36de5156444720,2300.312727548182,4116.505297675729,6416.818025223911,4116.505297675729,1
34,petfinder-pawpularity-score__1c2c8aaa78e443d9ac4423239a9a5fc4,petfinder-pawpularity-score__e9938c23bf674dd886d0d95a607276ad,5482.33562027663,3460.7604658678174,8943.096086144447,5482.33562027663,1
35,mlsp-2013-birds__23b107887a1f4022aed7991b11a34181,mlsp-2013-birds__5c488535319e494c9944773f9016d969,67.75958694890141,28.64134757593274,96.40093452483416,67.75958694890141,1
36,mlsp-2013-birds__1b0178a43be94445b95c9d32e8ba69d3,mlsp-2013-birds__7170d882632746e4bdb378265c1bcbf1,141.65061213821173,30.546918153762817,172.19753029197454,141.65061213821173,1
37,mlsp-2013-birds__0fe30a1faf0c4e6fa96d5c0f5cd6a5e9,mlsp-2013-birds__c3852350d09a42859409ccdca6c0f100,25.26108304411173,430.01267850771546,455.2737615518272,430.01267850771546,1
38,mlsp-2013-birds__188abaf3330b4881a273a7682c7098a0,mlsp-2013-birds__c3852350d09a42859409ccdca6c0f100,89.59887268766761,430.01267850771546,519.6115511953831,430.01267850771546,1
39,mlsp-2013-birds__0fe30a1faf0c4e6fa96d5c0f5cd6a5e9,mlsp-2013-birds__188abaf3330b4881a273a7682c7098a0,25.26108304411173,89.59887268766761,114.85995573177934,89.59887268766761,1
40,mlsp-2013-birds__817c00fb3d834bcc97b051670898b542,mlsp-2013-birds__8acba67da57e4cbfacc4882931a6d158,2156.7148915342987,588.0070384331048,2744.7219299674034,2156.7148915342987,1
41,mlsp-2013-birds__49cefdc0767940cc8e684dba49232950,mlsp-2013-birds__8acba67da57e4cbfacc4882931a6d158,86.19810958579183,588.0070384331048,674.2051480188966,588.0070384331048,1
42,mlsp-2013-birds__49cefdc0767940cc8e684dba49232950,mlsp-2013-birds__817c00fb3d834bcc97b051670898b542,86.19810958579183,2156.7148915342987,2242.9130011200905,2156.7148915342987,1
43,mlsp-2013-birds__ea104eef9b0c40dbbe70f756d236f0da,mlsp-2013-birds__f570cce01e6f4fc591ead51fb7dea6ae,9.522501789033413,35.80170849710703,45.32421028614044,35.80170849710703,1
44,mlsp-2013-birds__654f418cab324d28adbd2a1c393ebd9c,mlsp-2013-birds__7c3085de1f6443b293c11cdca4afe8eb,33.70854267477989,1914.4826144650578,1948.1911571398377,1914.4826144650578,1
45,mlsp-2013-birds__c6c1a2571d06433ca9a23aa419f7ac34,mlsp-2013-birds__ca9093830e8548348f3cf9dfcb998728,115.14543189108372,36.40226398035884,151.54769587144256,115.14543189108372,1
46,mlsp-2013-birds__c6c1a2571d06433ca9a23aa419f7ac34,mlsp-2013-birds__f9c84afad96f45c7a30041e4cc068ebe,115.14543189108372,59.79649117961526,174.94192307069898,115.14543189108372,1
47,mlsp-2013-birds__ca9093830e8548348f3cf9dfcb998728,mlsp-2013-birds__f9c84afad96f45c7a30041e4cc068ebe,36.40226398035884,59.79649117961526,96.1987551599741,59.79649117961526,1
48,tabular-playground-series-may-2022__c650bfdac0f541419fc4892a8730b154,tabular-playground-series-may-2022__ef97fe7ef7f44efab4645174deb6699b,6946.554128618911,8455.944003886078,15402.498132504988,8455.944003886078,1
49,tabular-playground-series-may-2022__882f2c83d4234bb6b12523e49b73bda5,tabular-playground-series-may-2022__ef97fe7ef7f44efab4645174deb6699b,2633.816233594902,8455.944003886078,11089.76023748098,8455.944003886078,1
50,tabular-playground-series-may-2022__1b2bd149af9b46d3b5eed52e0816377e,tabular-playground-series-may-2022__ef97fe7ef7f44efab4645174deb6699b,9985.972817602102,8455.944003886078,18441.91682148818,9985.972817602102,1
51,tabular-playground-series-may-2022__882f2c83d4234bb6b12523e49b73bda5,tabular-playground-series-may-2022__c650bfdac0f541419fc4892a8730b154,2633.816233594902,6946.554128618911,9580.370362213813,6946.554128618911,1
52,tabular-playground-series-may-2022__1b2bd149af9b46d3b5eed52e0816377e,tabular-playground-series-may-2022__c650bfdac0f541419fc4892a8730b154,9985.972817602102,6946.554128618911,16932.526946221013,9985.972817602102,1
53,tabular-playground-series-may-2022__1b2bd149af9b46d3b5eed52e0816377e,tabular-playground-series-may-2022__882f2c83d4234bb6b12523e49b73bda5,9985.972817602102,2633.816233594902,12619.789051197004,9985.972817602102,1
54,tabular-playground-series-may-2022__13ca195ed70b4d30aea63047468f728e,tabular-playground-series-may-2022__50c89dc182644632a6137f17e36c554d,1774.9609038708732,4121.853510308079,5896.814414178953,4121.853510308079,1
55,tabular-playground-series-may-2022__13ca195ed70b4d30aea63047468f728e,tabular-playground-series-may-2022__8ced6009884f4f60a3ef334d6da7557e,1774.9609038708732,43.8782835858874,1818.8391874567606,1774.9609038708732,1
56,tabular-playground-series-may-2022__50c89dc182644632a6137f17e36c554d,tabular-playground-series-may-2022__8ced6009884f4f60a3ef334d6da7557e,4121.853510308079,43.8782835858874,4165.731793893967,4121.853510308079,1
