parent,run_id,task,stratum,policy,n_children,n_winners,n_artifact_scored,n_artifact_exists,kept_n,pruned_n,kept_ids,pruned_ids,any_winner_survival,winner_fraction_survival,structured_random_any_winner,structured_random_winner_fraction,kept_fraction,full_runtime_s,probe_wall_s,pruned_full_runtime_s,avoidable_tail_s,restart_cost_ratio,ideal_resume_cost_ratio
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,censor_aware,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__4246a977cac14f43b5383deb5a257697|chaii-hindi-and-tamil-question-answering__57ce82f9247a4cc8b626b575d3f2c979|chaii-hindi-and-tamil-question-answering__ce99d23bb4de4bd4bfe832f8937daca3,,1.0,1.0,1.0,1.0,1.0,6553.884172439575,136.4,0,0,1.0208120858427114,1.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,full_continue,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95|chaii-hindi-and-tamil-question-answering__a483163f252d42fc98190cbfa2abfacc|chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,,1.0,1.0,,,1.0,1590.8876776695251,175.79999999999998,0,0,1.1105043445037726,1.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,observed_only,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95|chaii-hindi-and-tamil-question-answering__a483163f252d42fc98190cbfa2abfacc|chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,,1.0,1.0,,,1.0,1590.8876776695251,175.79999999999998,0,0,1.1105043445037726,1.0
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,easy,censor_aware,3,1,0,0,3,0,chaii-hindi-and-tamil-question-answering__9cc47ce945ac482dada73aa89c86ea95|chaii-hindi-and-tamil-question-answering__a483163f252d42fc98190cbfa2abfacc|chaii-hindi-and-tamil-question-answering__adf3351945ce4702bf8966e662ab3dcf,,1.0,1.0,1.0,1.0,1.0,1590.8876776695251,175.79999999999998,0,0,1.1105043445037726,1.0
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,full_continue,2,1,2,2,2,0,chaii-hindi-and-tamil-question-answering__463ad7dc1f7b4afe96a64bcfaba5d002|chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,,1.0,1.0,,,1.0,130.7270479425788,81.3,0,0,1.621906493564443,1.0
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,observed_only,2,1,2,2,1,1,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,chaii-hindi-and-tamil-question-answering__463ad7dc1f7b4afe96a64bcfaba5d002,1.0,1.0,,,0.5,130.7270479425788,81.3,111.1891480833292,49.389148083329204,0.7713621736761174,0.6221964095370444
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,hard,censor_aware,2,1,2,2,1,1,chaii-hindi-and-tamil-question-answering__f51b404ae74e4e72a4517e0733b4e1f6,chaii-hindi-and-tamil-question-answering__463ad7dc1f7b4afe96a64bcfaba5d002,1.0,1.0,0.5,0.5,0.5,130.7270479425788,81.3,111.1891480833292,49.389148083329204,0.7713621736761174,0.6221964095370444
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,full_continue,2,1,0,0,2,0,chaii-hindi-and-tamil-question-answering__79675e23561e437885211692d32c5024|chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,,1.0,1.0,,,1.0,879.9492094516754,129.4,0,0,1.1470539419890307,1.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,observed_only,2,1,0,0,2,0,chaii-hindi-and-tamil-question-answering__79675e23561e437885211692d32c5024|chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,,1.0,1.0,,,1.0,879.9492094516754,129.4,0,0,1.1470539419890307,1.0
chaii-hindi-and-tamil-question-answering__f05efa5bb9ac4788b908cb07e0fb4d7b,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,censor_aware,2,1,0,0,2,0,chaii-hindi-and-tamil-question-answering__79675e23561e437885211692d32c5024|chaii-hindi-and-tamil-question-answering__859755a3dccf447cbe49d1ab8a718158,,1.0,1.0,1.0,1.0,1.0,879.9492094516754,129.4,0,0,1.1470539419890307,1.0
