run_id,task,seed,arm,job,source_tree,controller_commit,generator,critic,provider,image_version,node,allocated_gpus,allocated_cpus,program_timeout_seconds,selection_top_k,selection_coupling,search_budget_seconds,planned_step_cap,runtime_status,critic_ranking_votes,api_cost_usd,api_responsibility_usd,valid,score,independent_score,selected_step,selected_code_sha256,worker_elapsed_seconds,technical_eligible,termination_reason
00-leaf-classification-s28-uniform_random,leaf-classification,28,uniform_random,13190,1ec18564f176d58a3a7ac3a46852ad92044777b5,a46dbd189d6f74cf7357377ba41fcc065b1d414c,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.034753407,0.034753407,True,0.36598,0.36598485014977084,5,e0ad70b1e4c162088f1235bf2929dffbe5cb73999fe168971987f17c7ffd444f,600.0806989590637,True,timed_out
01-leaf-classification-s28-critic_topk_random,leaf-classification,28,critic_topk_random,13190,1ec18564f176d58a3a7ac3a46852ad92044777b5,a46dbd189d6f74cf7357377ba41fcc065b1d414c,qwen/qwen3-coder-flash,qwen/qwen3-coder-plus,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,1,0.03150771,0.03150771,True,1.51485,1.514851560522969,4,bdac82a587f1c3ca1fa70cbc701f7f753823b367fddb7a53e5b578126fa42e6f,473.2714475898538,True,api_admission_budget_expired
02-spaceship-titanic-s28-critic_topk_random,spaceship-titanic,28,critic_topk_random,13190,1ec18564f176d58a3a7ac3a46852ad92044777b5,a46dbd189d6f74cf7357377ba41fcc065b1d414c,qwen/qwen3-coder-flash,qwen/qwen3-coder-plus,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,1,0.093671656,0.093671656,True,0.79655,0.7965517241379311,8,6610c17e158b33592ce355f460761826cc30cf05c1fd0099e75ba4ac7b0022c9,462.07290391786955,False,failed
03-spaceship-titanic-s28-uniform_random,spaceship-titanic,28,uniform_random,13190,1ec18564f176d58a3a7ac3a46852ad92044777b5,a46dbd189d6f74cf7357377ba41fcc065b1d414c,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.007792122,0.007792122,True,0.79655,0.7965517241379311,2,6610c17e158b33592ce355f460761826cc30cf05c1fd0099e75ba4ac7b0022c9,62.85574474791065,False,failed
04-leaf-classification-s29-critic_topk_random,leaf-classification,29,critic_topk_random,13191,1ec18564f176d58a3a7ac3a46852ad92044777b5,a46dbd189d6f74cf7357377ba41fcc065b1d414c,qwen/qwen3-coder-flash,qwen/qwen3-coder-plus,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,1,0.016885414,0.016885414,True,1.51485,1.514851560522969,2,bdac82a587f1c3ca1fa70cbc701f7f753823b367fddb7a53e5b578126fa42e6f,532.4860199498944,True,api_admission_budget_expired
05-leaf-classification-s29-uniform_random,leaf-classification,29,uniform_random,13191,1ec18564f176d58a3a7ac3a46852ad92044777b5,a46dbd189d6f74cf7357377ba41fcc065b1d414c,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.036082644,0.036082644,True,0.39201,0.39200517710489113,5,f9965beb4a503d791fc09776619c95877743e9a5acefc37385294356fe3dae8d,500.44914913713,True,api_admission_budget_expired
06-spaceship-titanic-s29-uniform_random,spaceship-titanic,29,uniform_random,13191,1ec18564f176d58a3a7ac3a46852ad92044777b5,a46dbd189d6f74cf7357377ba41fcc065b1d414c,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.109717296,0.109717296,True,0.7931,0.7931034482758621,10,b7858c3cb3d407fef1adbe389cef3cf6994ba76f7dbfd9d7578a91630e53440b,515.6649539410137,True,api_admission_budget_expired
07-spaceship-titanic-s29-critic_topk_random,spaceship-titanic,29,critic_topk_random,13191,1ec18564f176d58a3a7ac3a46852ad92044777b5,a46dbd189d6f74cf7357377ba41fcc065b1d414c,qwen/qwen3-coder-flash,qwen/qwen3-coder-plus,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,1,0.133851601,0.133851601,True,0.81034,0.8103448275862069,9,b5c26981401062ebf7fcd3b38476c3e7ee53d088ac78c7e39a238f19c86fa998,471.44147142302245,True,api_admission_budget_expired
