parent,run_id,task,stratum,policy,n_children,n_artifact,n_silent,n_escalated,n_pruned,top1_expected,raw_regret,deployed_available,deployed_utility,full_final_best_utility,deployed_delta_to_full_final,deployed_matches_or_beats_full,deployed_strictly_beats_full,deployed_strictly_loses_full,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top2_oracle,3,0,3,2,1,1.0,0.0,1,0.69479,0.69479,0.0,1.0,0.0,0.0,140.29999999999998,2803.019416332245,2374.2913733005526,2134.2913733005526
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,oracle_gate,3,0,3,3,0,1.0,0.0,1,0.69479,0.69479,0.0,1.0,0.0,0.0,140.29999999999998,2803.019416332245,2943.319416332245,2583.319416332245
chaii-hindi-and-tamil-question-answering__0a98eb202c8b43ea901e700701ee6c2b,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,full_external,3,0,3,3,0,1.0,0.0,1,0.69479,0.69479,0.0,1.0,0.0,0.0,140.29999999999998,2803.019416332245,2803.019416332245,2803.019416332245
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,artifact_only,2,0,2,0,2,0.5,0.016945,0,nan,0.09459,nan,0.0,0.0,1.0,240.2,10884.15703701973,240.2,240.2
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,all_escalate,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,random_gate,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,tfidf_gate,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,majority3_gate,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,unanimous3_gate,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_random,2,0,2,1,1,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,4277.270086956024,4157.270086956024
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_tfidf,2,0,2,1,1,0.0,0.033889999999999997,1,0.0607,0.09459,-0.033889999999999997,0.0,0.0,1.0,240.2,10884.15703701973,7087.286950063705,6967.286950063705
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_majority3,2,0,2,1,1,0.0,0.033889999999999997,1,0.0607,0.09459,-0.033889999999999997,0.0,0.0,1.0,240.2,10884.15703701973,7087.286950063705,6967.286950063705
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_stdout,2,0,2,1,1,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,4277.270086956024,4157.270086956024
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_progress,2,0,2,1,1,0.0,0.033889999999999997,1,0.0607,0.09459,-0.033889999999999997,0.0,0.0,1.0,240.2,10884.15703701973,7087.286950063705,6967.286950063705
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_stdout_tfidf,2,0,2,1,1,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,4277.270086956024,4157.270086956024
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top1_oracle,2,0,2,1,1,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,4277.270086956024,4157.270086956024
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top2_random,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top2_tfidf,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,top2_oracle,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,oracle_gate,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,11124.35703701973,10884.35703701973
chaii-hindi-and-tamil-question-answering__211dc7b5c70d4a1fa75515aebc02266e,cards_senior_0728.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,full_external,2,0,2,2,0,1.0,0.0,1,0.09459,0.09459,0.0,1.0,0.0,0.0,240.2,10884.15703701973,10884.15703701973,10884.15703701973
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,artifact_only,3,0,3,0,3,0.3333333333333333,0.04712666666666665,0,nan,0.68914,nan,0.0,0.0,1.0,360.4,1355.3276376724243,360.4,360.4
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,all_escalate,3,0,3,3,0,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,random_gate,3,0,3,3,0,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
