"seed","source","unique_source_pairs","source_once_valid_tokens","same_pair_visits","same_pair_visits_valid_tokens","G_to_L_valid_tokens","relative_valid_token_difference","token_difference_percent","exact_prefix_reachable","base_commit","script_sha256"
"6","G","9392","72676205","14081","108860000","104863947","0.03810702452388148","3.8107","False","7677501b66859284f41545f39a1f00469b20ee4f","02464fde4239ac7650e5728dc0c5ced82049a9f2d5f061b6111e4ef6436e5cd5"
"6","L","4689","32187742","14081","96654679","104863947","-0.07828494191621449","-7.8285","False","7677501b66859284f41545f39a1f00469b20ee4f","02464fde4239ac7650e5728dc0c5ced82049a9f2d5f061b6111e4ef6436e5cd5"
"7","G","9392","72676205","14081","108866083","104863947","0.03816503302131102","3.8165","False","7677501b66859284f41545f39a1f00469b20ee4f","02464fde4239ac7650e5728dc0c5ced82049a9f2d5f061b6111e4ef6436e5cd5"
"7","L","4689","32187742","14081","96653504","104863947","-0.07829614691119724","-7.8296","False","7677501b66859284f41545f39a1f00469b20ee4f","02464fde4239ac7650e5728dc0c5ced82049a9f2d5f061b6111e4ef6436e5cd5"
"8","G","9392","72676205","14081","109085847","104863947","0.04026073899354565","4.0261","False","7677501b66859284f41545f39a1f00469b20ee4f","02464fde4239ac7650e5728dc0c5ced82049a9f2d5f061b6111e4ef6436e5cd5"
"8","L","4689","32187742","14081","96666318","104863947","-0.07817395048080733","-7.8174","False","7677501b66859284f41545f39a1f00469b20ee4f","02464fde4239ac7650e5728dc0c5ced82049a9f2d5f061b6111e4ef6436e5cd5"
