protocol,source_commit,protocol_sha256,selection_public_sha256,selection_private_sha256,outer_eval_fold,arm,budget_numerator,budget_denominator,endpoint_budget,selected_endpoints,induced_unique_train_pairs,outer_eval_pairs,outer_eval_tasks,pairwise_accuracy,log_loss,brier_score,fit_seconds,query_seconds,vocabulary_size,model_iterations,gpu,api_calls,base_model_updates
endpoint-budget-label-efficiency-fit-result-v1,9f9705a14eac5bf73a070ac7c37091a815c4e31b,e0dd7414ce0885257234d87112507a3b89393260111398349dd22b05abb29761,d1e4274b1046c4e4fea294818beb5522fcdd352a9379a2d72e8bc3255b59bd15,ab4c76721964b3a7c8554e551c5bc524043f111eb52c7a3eddec952553bb1445,0,exact_b_uniform_edge,4,32,96,96,48,138,20,0.5434782608695652,0.6924045707359345,0.24962873676870673,4.503642335534096,4.944876968860626,30000,2,0,0,0
endpoint-budget-label-efficiency-fit-result-v1,9f9705a14eac5bf73a070ac7c37091a815c4e31b,e0dd7414ce0885257234d87112507a3b89393260111398349dd22b05abb29761,d1e4274b1046c4e4fea294818beb5522fcdd352a9379a2d72e8bc3255b59bd15,ab4c76721964b3a7c8554e551c5bc524043f111eb52c7a3eddec952553bb1445,0,exact_b_uniform_edge,8,32,192,192,100,138,20,0.5434782608695652,0.689610466853263,0.24823482256457152,8.112458178773522,5.0869087763130665,30000,2,0,0,0
endpoint-budget-label-efficiency-fit-result-v1,9f9705a14eac5bf73a070ac7c37091a815c4e31b,e0dd7414ce0885257234d87112507a3b89393260111398349dd22b05abb29761,d1e4274b1046c4e4fea294818beb5522fcdd352a9379a2d72e8bc3255b59bd15,ab4c76721964b3a7c8554e551c5bc524043f111eb52c7a3eddec952553bb1445,0,yield_guarded_breadth,4,32,96,96,49,138,20,0.5652173913043478,0.6898549475539115,0.248354646938435,3.797060768119991,5.149861196987331,30000,2,0,0,0
endpoint-budget-label-efficiency-fit-result-v1,9f9705a14eac5bf73a070ac7c37091a815c4e31b,e0dd7414ce0885257234d87112507a3b89393260111398349dd22b05abb29761,d1e4274b1046c4e4fea294818beb5522fcdd352a9379a2d72e8bc3255b59bd15,ab4c76721964b3a7c8554e551c5bc524043f111eb52c7a3eddec952553bb1445,0,yield_guarded_breadth,8,32,192,192,99,138,20,0.5797101449275363,0.6852050806209655,0.24603562877579907,8.589732988737524,5.491616476327181,30000,2,0,0,0
