selection_seed,arm,pairs,tasks,task_pair_budget_sha256,components,endpoints,runs,unordered_pairs_sha256,train_pairs,train_endpoints,train_runs,train_components,train_tasks,vocabulary_size,lr_iterations,lr_intercept,coef_l2,anti_symmetry_max_abs,task_macro_log_loss,task_macro_accuracy,pair_micro_log_loss,pair_micro_accuracy,ties
20260823,broad,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,127,2653,429,62ea9f35144501ddd415109f7412ec5fc13524690062a428d02c60bf682a8ac4,2353,2653,429,127,28,30000,5,-1.2698583324583916e-12,18.56502613926554,0.0,0.680738993361688,0.5581301575211921,0.6602870444333203,0.588021778584392,0
20260823,concentrated,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,53,2050,224,7bd72d32b0aa5def3b602bbe99959dfac9bd9c0ea2c66c9daaee122a2364fd76,2353,2050,224,53,28,30000,5,1.2527125393673452e-14,18.113293564587057,0.0,0.6811030396635824,0.5359610905659096,0.6583368526057802,0.6025408348457351,0
20260823,random,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,125,2582,426,23e0d8849418ae8cbd2aacf7185fc167f4c925faa06412910fa86f1db334328e,2353,2582,426,125,28,30000,5,2.092170513419643e-08,17.597885041817108,0.0,0.6735993585454039,0.561481070403674,0.6652370116132508,0.5862068965517241,0
20260824,broad,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,127,2597,429,6adbd5d32756b40af71c1d9d28cc606d4678ec4867dda549b7d58321af10f591,2353,2597,429,127,28,30000,4,-2.91040308864197e-11,17.84500894179919,0.0,0.6846592808429947,0.539774387796222,0.6630185046108652,0.6007259528130672,0
20260824,concentrated,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,53,2036,223,6cc30d5ce57b70fcf3b4a3a18a170e6d14ff54d761ed4aa71f78d1e8c36ef0ad,2353,2036,223,53,28,30000,5,-2.303938834560733e-12,19.541522251359236,0.0,0.6839064912119099,0.5241044317272621,0.656443214909847,0.6025408348457351,0
20260824,random,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,123,2617,426,b5a37712a306d9317480de10dc2de5040810435dd430e47672751306ff138733,2353,2617,426,123,28,30000,5,-3.714105085096999e-08,18.88692090837822,0.0,0.6754940575699289,0.5641684569395217,0.6635678229417458,0.5825771324863884,0
20260825,broad,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,127,2597,429,82a1450373b268dacc99bd0eaaf2e8af835793764156621bc0a79a0baf4c7267,2353,2597,429,127,28,30000,5,-3.863449336851747e-11,18.254485217814253,0.0,0.6666800924168201,0.5894157135183303,0.6541260475225812,0.617059891107078,0
20260825,concentrated,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,53,2037,224,fc1c916980a9f702db0972f904df7ed8a20f914319006e22482b475b3decbdac,2353,2037,224,53,28,30000,5,-8.179543839323789e-14,19.36721132803822,0.0,0.68737801842478,0.527593419088317,0.6646972740944892,0.5970961887477314,0
20260825,random,2353,28,e2181914f41949efb6333c4848ccaf74c30485545a1389671693b55fc5e3c966,123,2587,425,405e51a10b621b92a215744441b0a2e247c5316f3e7c5e72fa91bd7ac08581f6,2353,2587,425,123,28,30000,4,0.0,17.69557248820842,0.0,0.6806662661956276,0.5327163937459516,0.6662178280067614,0.5934664246823956,0
