tasks,true_macro_effect,scenario,simulation_seed,trials,positive_screen,both_nonpositive,point_gate,inconclusive,analytic_point_gate,code_commit,GPU_hours,model_fits
15,0.04,training_instability,202609061,250000,0.844588,0.003692,0.866612,0.15172,0.8660527112269303,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
15,0.04,training_instability,202609062,250000,0.844768,0.003748,0.866992,0.151484,0.8660527112269303,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.0,independent_training,202609061,250000,0.000756,0.257092,0.000756,0.742152,0.0007091612773026165,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.0,independent_training,202609062,250000,0.000652,0.256328,0.000652,0.74302,0.0007091612773026165,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.0,correlated_measurement,202609061,250000,0.008016,0.315076,0.008016,0.676908,0.008274468293935636,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.0,correlated_measurement,202609062,250000,0.00842,0.313652,0.00842,0.677928,0.008274468293935636,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.0,training_instability,202609061,250000,0.101504,0.267808,0.110484,0.630688,0.11084999688243823,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.0,training_instability,202609062,250000,0.101952,0.266712,0.110624,0.631336,0.11084999688243823,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.02,independent_training,202609061,250000,0.500448,0.00018,0.500504,0.499372,0.5,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.02,independent_training,202609062,250000,0.500876,0.000156,0.500936,0.498968,0.5,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.02,correlated_measurement,202609061,250000,0.499692,0.002624,0.499728,0.497684,0.5,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.02,correlated_measurement,202609062,250000,0.499516,0.002664,0.49954,0.49782,0.5,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.02,training_instability,202609061,250000,0.47344,0.040664,0.499872,0.485896,0.5,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.02,training_instability,202609062,250000,0.473372,0.040408,0.499176,0.48622,0.5,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.04,independent_training,202609061,250000,0.999388,0.0,0.999388,0.000612,0.9993189476642079,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.04,independent_training,202609062,250000,0.9993,0.0,0.999304,0.0007,0.9993189476642079,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.04,correlated_measurement,202609061,250000,0.9921,0.0,0.992104,0.0079,0.9918913262558255,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.04,correlated_measurement,202609062,250000,0.99198,0.0,0.99198,0.00802,0.9918913262558255,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.04,training_instability,202609061,250000,0.869292,0.001852,0.888904,0.128856,0.8893349585030496,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
28,0.04,training_instability,202609062,250000,0.87006,0.001788,0.889732,0.128152,0.8893349585030496,48f58fe7eff0ea31b1f8764696e25fad5408ff32,0,0
