audit_commit,case,hash_post_done_seconds,hash_pre_done_seconds,hash_pre_start_seconds,load_done_seconds,load_start_seconds,new_gpu_seconds,payload_checks_done_seconds,rank,returncode,stage,training_commit,wall_seconds
c7c0aa4a0181be51d7c38dfa1942c6b68ca353e9,prefix1,29.96519122600148,187.6875528360033,9.039998985826969e-06,45.86484597699746,10.19796113800112,0,38.30110801899718,0,0,prefix1-rank0,88522f74cafcd45778751c5315fa0a89a1704965,319.6309843639974
c7c0aa4a0181be51d7c38dfa1942c6b68ca353e9,prefix1,29.89792080299958,78.67790460599645,6.039001164026558e-06,42.23308920000272,9.426168694997614,0,38.24576302999776,1,0,prefix1-rank1,88522f74cafcd45778751c5315fa0a89a1704965,203.3937761920024
c7c0aa4a0181be51d7c38dfa1942c6b68ca353e9,resume2,31.84850174299936,112.70131339799991,8.791001164354384e-06,43.231237372994656,10.15956316300435,0,49.64564487300231,0,0,resume2-rank0,88522f74cafcd45778751c5315fa0a89a1704965,254.87131867100106
c7c0aa4a0181be51d7c38dfa1942c6b68ca353e9,resume2,33.40513930399902,161.63547869999456,2.50100129051134e-06,27.456560234997596,6.594311559005291,0,38.26549616400007,1,0,resume2-rank1,88522f74cafcd45778751c5315fa0a89a1704965,272.6205436470045
c7c0aa4a0181be51d7c38dfa1942c6b68ca353e9,,,,,,,0,,,0,final,88522f74cafcd45778751c5315fa0a89a1704965,139.78460082300444
