run_id,block,task,seed,arm,runtime_status,prepared_config_sha256,runtime_config_sha256,allocation_id,node,source_tree,controller_commit,metric,step_limit,execution_timeout_seconds,worker_wall_seconds,api_attempt_cap,process_status,process_returncode,process_elapsed_seconds,final_event_issue,final_score_observed,selected_node_id,comparable_final,comparable_score,api_requests_observed,api_cost_usd
00-leaf-classification-s10-uniform_random,1,leaf-classification,10,uniform_random,completed,01872e39cdc152b73f426b118596d00d1d244b0c1266b7a2203a86996d57c184,3c5424bd54fa5d743d8092febb838d85c8192a88c277dea466cf9428f32e37ab,13113,gpu28,0a587f6b220b1aa0bd154f537f36594bc0690cb3,dfad1bba2171b62f6d476129e661de66d3c4801b,log_loss,6,300,3540,100,completed,0,1079.88081559306,missing_final_event,,,False,,,
01-leaf-classification-s10-critic_topk_random,1,leaf-classification,10,critic_topk_random,failed,907a73d72ccd60859b9f63132d5b578bd97451b3e91dc4257c13ca03e7f372dc,74b9557cf1e04b1d49ad474010505bc6c4433d235d26fcb1c564125dde1d72bf,13113,gpu28,0a587f6b220b1aa0bd154f537f36594bc0690cb3,dfad1bba2171b62f6d476129e661de66d3c4801b,log_loss,6,300,3540,100,failed,1,90.76102107204497,missing_final_event,,,False,,,
02-spaceship-titanic-s10-critic_topk_random,1,spaceship-titanic,10,critic_topk_random,completed,57a3e055ff62c435c471bae3e71d31a8e26be546ac9334080bcb5033fdbfd68a,6b3f901a14b57e64ed9669897c87528990cc1e9c83fd472517d10d4af7d7e7ec,13113,gpu28,0a587f6b220b1aa0bd154f537f36594bc0690cb3,dfad1bba2171b62f6d476129e661de66d3c4801b,accuracy,6,300,3540,100,completed,0,344.4060717471875,missing_final_event,,,False,,,
03-spaceship-titanic-s10-uniform_random,1,spaceship-titanic,10,uniform_random,failed,14d2504fcaa25a3661ddfdaac866a835ad98003099ac6f65f41936ca8615e947,643d1c91f7026448aa7d5767ac4a7a53202af41a1674643bcc1f6abc4905ae2c,13113,gpu28,0a587f6b220b1aa0bd154f537f36594bc0690cb3,dfad1bba2171b62f6d476129e661de66d3c4801b,accuracy,6,300,3540,100,failed,1,332.8519083079882,missing_final_event,,,False,,,
