N,split,acc,tau_weight,model,seed,wall_s,n_test,max_len,lr,task_cond,head_frac
2000,in-task,0.824,False,qwen2.5-1.5b-instruct,7,1988.1,1500,2048,0.0001,True,0.25
8000,in-task,0.8787,False,qwen2.5-1.5b-instruct,7,6783.0,1500,2048,0.0001,True,0.25
