N,split,acc,tau_weight,model,seed,wall_s,n_test,max_len,lr,task_cond,head_frac
8000,loto:spaceship-titanic,0.544,False,qwen2.5-1.5b-instruct,7,6097.6,1500,2048,0.0001,True,0.25
8000,in-task,0.7693,False,qwen2.5-1.5b-instruct,7,6382.8,1500,2048,0.0001,True,0.25
