N,split,acc,tau_weight,model,seed,wall_s,n_test,max_len,lr,task_cond,head_frac,disagree_acc,agree_acc
8000,in-task,0.4989,False,qwen2.5-1.5b-instruct,7,5941.3,475,2048,0.0001,True,0.25,,
8000,in-task|ft551,0.5663,False,qwen2.5-1.5b-instruct,7,0.0,475,2048,5e-05,True,0.25,,
