run_id,task,seed,arm,job,source_tree,controller_commit,generator,critic,provider,image_version,node,allocated_gpus,allocated_cpus,program_timeout_seconds,selection_top_k,selection_coupling,search_budget_seconds,planned_step_cap,runtime_status,critic_ranking_votes,api_cost_usd,api_responsibility_usd,valid,score,independent_score,selected_step,selected_code_sha256,worker_elapsed_seconds,search_start_ns,technical_eligible,termination_reason
00-leaf-classification-s40-no_memory,leaf-classification,40,no_memory,13242,746d97a67922896b7d1581c4689f8b5f85204d30,4a692f866f1d02fd2476bb6147b33d28346c900b,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.008534175,0.008534175,True,1.51485,1.514851560522969,2,bdac82a587f1c3ca1fa70cbc701f7f753823b367fddb7a53e5b578126fa42e6f,581.9020824900363,2086933263803250,False,failed
01-leaf-classification-s40-execution_memory,leaf-classification,40,execution_memory,13242,746d97a67922896b7d1581c4689f8b5f85204d30,4a692f866f1d02fd2476bb6147b33d28346c900b,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.012539163,0.012539163,True,1.51485,1.514851560522969,2,bdac82a587f1c3ca1fa70cbc701f7f753823b367fddb7a53e5b578126fa42e6f,518.0706258418504,2087523571152904,True,api_admission_budget_expired
02-spaceship-titanic-s40-execution_memory,spaceship-titanic,40,execution_memory,13242,746d97a67922896b7d1581c4689f8b5f85204d30,4a692f866f1d02fd2476bb6147b33d28346c900b,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.069814173,0.069814173,True,0.79655,0.7965517241379311,14,6610c17e158b33592ce355f460761826cc30cf05c1fd0099e75ba4ac7b0022c9,495.99351794901304,2088049552352545,True,api_admission_budget_expired
03-spaceship-titanic-s40-no_memory,spaceship-titanic,40,no_memory,13242,746d97a67922896b7d1581c4689f8b5f85204d30,4a692f866f1d02fd2476bb6147b33d28346c900b,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.05550519,0.05550519,True,0.79655,0.7965517241379311,10,6610c17e158b33592ce355f460761826cc30cf05c1fd0099e75ba4ac7b0022c9,469.00084770517424,2088554731184841,True,api_admission_budget_expired
04-leaf-classification-s41-execution_memory,leaf-classification,41,execution_memory,13243,746d97a67922896b7d1581c4689f8b5f85204d30,4a692f866f1d02fd2476bb6147b33d28346c900b,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.010766379,0.010766379,True,1.51485,1.514851560522969,2,bdac82a587f1c3ca1fa70cbc701f7f753823b367fddb7a53e5b578126fa42e6f,510.2411914339755,2086933263711836,True,api_admission_budget_expired
05-leaf-classification-s41-no_memory,leaf-classification,41,no_memory,13243,746d97a67922896b7d1581c4689f8b5f85204d30,4a692f866f1d02fd2476bb6147b33d28346c900b,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.009763611,0.009763611,True,1.51485,1.514851560522969,2,bdac82a587f1c3ca1fa70cbc701f7f753823b367fddb7a53e5b578126fa42e6f,470.01663665496744,2087453658247173,True,api_admission_budget_expired
06-spaceship-titanic-s41-no_memory,spaceship-titanic,41,no_memory,13243,746d97a67922896b7d1581c4689f8b5f85204d30,4a692f866f1d02fd2476bb6147b33d28346c900b,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.052554372,0.052554372,True,0.8023,0.8022988505747126,10,a7ced858035f353f981d06b42eeb9774610948fb803b1ff96d04115dac1e3df4,533.4568890058435,2087934035387383,True,api_admission_budget_expired
07-spaceship-titanic-s41-execution_memory,spaceship-titanic,41,execution_memory,13243,746d97a67922896b7d1581c4689f8b5f85204d30,4a692f866f1d02fd2476bb6147b33d28346c900b,qwen/qwen3-coder-flash,,alibaba,2026-07-macos-v1,gpu28,1,6,300,2,common_priority_v1,600,64,failed,0,0.048338394,0.048338394,True,0.81034,0.8103448275862069,9,5c5aa2b78b729a7779b14118333d036535ec68db2222ab048898faf29c58fd05,600.1239534029737,2088474324035025,True,timed_out
