task,seed,run,slot,node,code_sha256,index,analysis_status,native_accepted,native_metric,native_is_bug,analysis_seconds,wall_seconds,reward,inference_seconds,valid,score,independent_score,exit_code,timed_out
leaf-classification,1,8b601e5efea310e7,0,c11a2b77d5d14a9d9702fb6b31359327,47466aea4a889943fa27df0af58e653fba3b5cff93f82b74cc3e914a6551efa9,0,returned,True,0.66536,False,8.010633188998327,710.3638474609761,0.6048657894134521,3.01047237199964,True,0.72433,0.7243283025349829,0,False
leaf-classification,1,8b601e5efea310e7,1,c4ae6e85ce3245bb89cbde1218b7e3bf,c8c7c304144736d2670fa207b9ae3f7540acc9be708b13d2fee8a012347ecd45,1,returned,True,0.052176,False,5.442416601988953,37.9015831949946,0.9241418242454529,0.7154549510159995,True,0.06983,0.06982953249751943,0,False
leaf-classification,1,8b601e5efea310e7,2,b80bf773fd0e49b7abebaa177cdcc9a9,14dbaf26f6fbd058b7f56d93fd5be6c9d61de45a5672595a2d2b7adee3606843,2,returned,False,,True,8.504158213007031,27.330175787996268,0.6859495043754578,1.4027080539963208,False,,,1,False
leaf-classification,1,8b601e5efea310e7,3,993581de014f44f7aa5acb44fdeb13db,5e411e522ba8341e2f93a13323cb35ceff998b37cee57bf65019e25c9b2c7f7c,3,returned,False,,True,4.350292621005792,14.893010924977716,0.9465966820716858,0.5364770960004535,False,,,1,False
leaf-classification,1,8b601e5efea310e7,4,33eea251c4504974a9384184eb8b9649,1925153811ce735d540af94f74efe1ccd17774e423b4df8dabca64864d91f635,4,returned,False,,True,6.617441801005043,88.44561390700983,0.8766343593597412,0.9387189129774924,False,,,1,False
leaf-classification,1,8b601e5efea310e7,5,b40b339df8464514b6e2ba0adb82c379,7290ba6dfb9632672dad4dc3d7e85e85496f89ca687371197b7824be978cbb9c,5,returned,False,,True,11.658675084006973,32.44095575797837,0.6352224349975586,2.6868017579836305,False,,,1,False
leaf-classification,2,aa600099292ca506,0,d2563b5278ec4af69c063832ed1dcde8,7e6182fc0f74a9c0b7c774d1fe057b68f6e19b0a7ce1eb97dbd2f27da2c02ad0,6,returned,True,1.211296,False,4.421970554016298,61.51744063899969,0.1540575623512268,0.29586775999632664,True,1.35081,1.3508098982120742,0,False
leaf-classification,2,aa600099292ca506,1,4a80ab2ca9b74a9a8038dbd3ef29b96c,46ef0c50a6566856396d65e3710f6996df6f41ac14dbdf079b8740415d388b7f,7,returned,True,0.11623,False,4.236818003992084,195.5759180969908,0.869714617729187,0.4453101379913278,True,0.12444,0.12444394919288346,0,False
leaf-classification,2,aa600099292ca506,2,91495f06c68e473f8cfc94af6efcb1ed,368eef018eac143324eb97382d45d5ccdb645b370519ca087f2329a287d47f63,8,returned,False,,True,4.603083235997474,28.935156674007885,0.8714748620986938,0.4620998350146692,False,,,1,False
leaf-classification,2,aa600099292ca506,3,00c67eb1c3df48d2a32260d93fc66acf,5e9124f9bec1ade198c3042f50d812504c4004b365c3904c0ebe2ae14a0ae620,9,returned,False,,True,8.298600767011521,716.1849188949855,0.74167400598526,0.936663400992984,True,0.49656,0.4965610932687788,0,False
leaf-classification,2,aa600099292ca506,4,5f33dda3bedf49b588840685a2490716,031b135e2f688c61e860583a048e4020fe106960598b399a50ce4742172268c5,10,returned,False,,True,7.740887982014101,899.0323666360055,0.7446563243865967,1.0040031879907474,False,,,1,False
leaf-classification,2,aa600099292ca506,5,4b6c4844dccd474b90705ebecd74f167,4f117f80277b95ac8417699f3ffb07e1cab235df9b177ce05473253ca0f95c04,11,returned,True,1.698344,False,6.959640593995573,1172.685564653977,0.842863142490387,1.2434991110058036,True,1.80818,1.8081820430547408,0,False
leaf-classification,3,f70d132bf8fd755c,0,846bbddaf98744858ff209f98dbc10aa,b5a22dd3b98ab9bfcf248897f3ff01bcdeaa3fcddca17cd371c504f61bf90035,12,returned,False,,True,5.37506250597653,11.182061380008236,0.7017130851745605,0.5081679550057743,False,,,1,False
leaf-classification,3,f70d132bf8fd755c,1,c65439f731ee49eebdc270d81a1f868d,78c598b44805c861ed844d5e81ee43a73ef3d066681f45dbea119d2e4dcd6d59,13,returned,False,,True,4.492568949004635,223.61079983602394,0.7943849563598633,0.4123553920071572,False,,,1,False
leaf-classification,3,f70d132bf8fd755c,2,0aa23cb9716541eb8914b5a3dfe4fe6d,34e8d369a0483cdaf355e33d6bc684368499f545604da198c39612c84da562eb,14,returned,True,0.88835,False,6.224461997015169,1393.3038109139889,0.672331690788269,1.0379857789957896,True,1.0125,1.0124999483888135,0,False
leaf-classification,3,f70d132bf8fd755c,3,8831780d791b4c36bd98765b65a6b1ae,b3715f3830b104cc2bc86f24ccce87e9f7c3a1e07518e767ceee84fbb6e41a33,15,returned,True,0.542453,False,5.250021165004,558.7533936650143,0.8774768114089966,0.68112083998858,True,0.53537,0.5353665845628551,0,False
leaf-classification,3,f70d132bf8fd755c,4,fd8b74bf2095492785a07a7d8a5adf14,3ac8e8029aacd3a25f5feca5d87a638a43357468cb8689f986b6ec59c6e173de,16,returned,False,,True,7.001699968997855,10.926885976019548,0.896251380443573,0.8763576929923147,False,,,1,False
leaf-classification,3,f70d132bf8fd755c,5,194578f79e634ef287ce314fc186dc8c,39be504802f52016579387499df75693482aef32f57021b37ce603cbc6393886,17,returned,True,0.10122,False,5.877745787001913,531.6443238270003,0.970687747001648,0.9654550699924584,True,0.11709,0.11709220828437439,0,False
spooky-author-identification,1,3277c81be72a1c30,0,e4ecc3bf9f19482781c40c8a8f9b25a8,33cda1f377275936a54e7191947af1063f1e45aa712b20be976c65ca5cbc8ba5,18,returned,True,0.429043,False,4.075141061010072,108.37061813700711,0.4205995798110962,0.2617417679866776,True,0.40975,0.4097469770157427,0,False
spooky-author-identification,1,3277c81be72a1c30,1,1368c211e847436fb32301b125c39a76,2daa7a5e7ab42cf0ace5ad035484bdee19f54ee37774386656691a9ce74cd2e7,19,returned,True,0.488778,False,2.8097997089789715,1397.4163650330156,0.5604932308197021,0.2878320300078485,True,0.48343,0.48342976635786983,0,False
spooky-author-identification,1,3277c81be72a1c30,2,e9292e0a154f41adb7e6c2a6c6bdbe1d,c2d57e68d325a012b02b56c3b25a1ad59c95a6db8ecedb140bd1771410857641,20,returned,False,,True,4.894267450988991,11.840439824998612,0.815232515335083,0.457821261981735,False,,,1,False
spooky-author-identification,1,3277c81be72a1c30,3,bc14d75cae454970ae588d066500a351,bc36d982619920bfd97225e293464ef942011b386a745403c5ed404318ec1848,21,returned,True,0.428599,False,2.537060479982756,90.81886197900167,0.7287483215332031,0.37570837599923834,True,0.61266,0.612663306492454,0,False
spooky-author-identification,1,3277c81be72a1c30,4,abd782484bc6453aa688f4420309535b,01edc95c44c3402bfa664bb584d9f8968c5378e43e9f9ba159824bccbd713a67,22,returned,False,,True,2.802113865996944,17.918240333005087,0.6242935657501221,0.28907154698390514,False,,,1,False
