arm,pairs,parents,tasks,pair_micro_accuracy,task_macro_parent_macro_accuracy,task_macro_parent_macro_relative_gap_weighted_accuracy,prediction_ties
binary_bt,551,246,25,0.604355716878403,0.5102786098859761,0.5136363672311228,0
gap_permuted_bt,551,246,25,0.6206896551724138,0.5324983224925042,0.535648330817269,0
gap_weighted_bt,551,246,25,0.6188747731397459,0.5289167039832994,0.5360874812396559,0
gap_ridge,551,246,25,0.5753176043557169,0.5345622370769056,0.5351261048701828,0
