cohort,scoped_endpoints,sibling_pairs,choice_sets,literal_equivalent_fraction,noncode_pair_invariant_fraction,noncode_discriminative_pairs,exact_code_distinct_fraction
prospective_first960_prefix,5643,1473,1431,0.0,0.0,1473,1.0
v11_published_b0,7760,5897,3252,0.0,0.0,5897,1.0
