name,source_commit,command,rc,elapsed_seconds,stderr_bytes,stderr_sha256,new_gpu_jobs,model_fits,api_calls
producer_a,9faaed1adde62de4ac87655e009232127b141d08,"[""/research/d7/spc/yzyang4/venvs/exp/bin/python"", ""-B"", ""-m"", ""phase1.historical_label_reuse_support""]",0,48.747341353446245,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0
producer_b,9faaed1adde62de4ac87655e009232127b141d08,"[""/research/d7/spc/yzyang4/venvs/exp/bin/python"", ""-B"", ""-m"", ""phase1.historical_label_reuse_support""]",0,45.752029788680375,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0
independent,9faaed1adde62de4ac87655e009232127b141d08,"[""/research/d7/spc/yzyang4/venvs/exp/bin/python"", ""-B"", ""-m"", ""phase1.verify_historical_label_reuse_support"", ""--receipt"", ""/tmp/gl-label-reuse-20260904-HB29tF/results/producer_a.json"", ""--sha256"", ""8b797c29659358473f3412b9ce5e7bd52f5af06ed756987cf31fabc7605ca21c""]",0,55.79761084262282,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0
