condition,index,marker_ok,readiness_seconds,ready
old,0,True,0.05922780209220946,True
new,1,True,0.05856875283643603,True
new,2,True,0.06601966009475291,True
old,3,True,0.059155523078516126,True
old,4,True,0.06349787581712008,True
new,5,True,0.06428970210254192,True
new,6,True,0.06738009699620306,True
old,7,True,0.6015685759484768,True
old,8,True,0.06116593210026622,True
new,9,True,0.05566196097061038,True
new,10,True,0.06135600619018078,True
old,11,True,0.06265085097402334,True
