task,seed,run,slot,node,code_sha256,reward,inference_seconds,valid,score,independent_score,original_selected,exit_code,timed_out,reader_commit,deployment_commit,inference_job
leaf-classification,1,8b601e5efea310e7,0,c11a2b77d5d14a9d9702fb6b31359327,47466aea4a889943fa27df0af58e653fba3b5cff93f82b74cc3e914a6551efa9,0.6048657894134521,3.01047237199964,True,0.72433,0.7243283025349829,False,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,1,8b601e5efea310e7,1,c4ae6e85ce3245bb89cbde1218b7e3bf,c8c7c304144736d2670fa207b9ae3f7540acc9be708b13d2fee8a012347ecd45,0.9241418242454529,0.7154549510159995,True,0.06983,0.06982953249751943,True,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,1,8b601e5efea310e7,2,b80bf773fd0e49b7abebaa177cdcc9a9,14dbaf26f6fbd058b7f56d93fd5be6c9d61de45a5672595a2d2b7adee3606843,0.6859495043754578,1.4027080539963208,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,1,8b601e5efea310e7,3,993581de014f44f7aa5acb44fdeb13db,5e411e522ba8341e2f93a13323cb35ceff998b37cee57bf65019e25c9b2c7f7c,0.9465966820716858,0.5364770960004535,False,,,True,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,1,8b601e5efea310e7,4,33eea251c4504974a9384184eb8b9649,1925153811ce735d540af94f74efe1ccd17774e423b4df8dabca64864d91f635,0.8766343593597412,0.9387189129774924,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,1,8b601e5efea310e7,5,b40b339df8464514b6e2ba0adb82c379,7290ba6dfb9632672dad4dc3d7e85e85496f89ca687371197b7824be978cbb9c,0.6352224349975586,2.6868017579836305,False,,,False,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,2,aa600099292ca506,0,d2563b5278ec4af69c063832ed1dcde8,7e6182fc0f74a9c0b7c774d1fe057b68f6e19b0a7ce1eb97dbd2f27da2c02ad0,0.1540575623512268,0.29586775999632664,True,1.35081,1.3508098982120742,False,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,2,aa600099292ca506,1,4a80ab2ca9b74a9a8038dbd3ef29b96c,46ef0c50a6566856396d65e3710f6996df6f41ac14dbdf079b8740415d388b7f,0.869714617729187,0.4453101379913278,True,0.12444,0.12444394919288346,False,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,2,aa600099292ca506,2,91495f06c68e473f8cfc94af6efcb1ed,368eef018eac143324eb97382d45d5ccdb645b370519ca087f2329a287d47f63,0.8714748620986938,0.4620998350146692,False,,,True,1,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
leaf-classification,2,aa600099292ca506,3,00c67eb1c3df48d2a32260d93fc66acf,5e9124f9bec1ade198c3042f50d812504c4004b365c3904c0ebe2ae14a0ae620,0.74167400598526,0.936663400992984,True,0.49656,0.4965610932687788,False,0,False,02d0b5d4a4c75c700934f83c92ff4dd9585e2947,7d5c31c706c4bb18faeda18a27243ff7be539c93,14170
