arm,pair_accuracy,complete_parent_top1,parent_equal_gap_utility,supported_tasks,task_nonchance_share
fixed_global_allpair,0.5038705137227305,0.44710048694112436,0.5105066477670084,20,0.5
nested_global_allpair,0.5034013605442177,0.44710048694112436,0.5091879497836447,20,0.5
nested_global_topcenter,0.5073891625615764,0.45196989818503763,0.5132187481874965,20,0.55
nested_task_allpair,0.5069200093830636,0.45196989818503763,0.5148432558223854,20,0.5
nested_task_topcenter,0.5066854327938072,0.45108455068614434,0.5125829562017966,20,0.55
