comparison,metric,micro_delta,run_macro_delta,run_ci95_low,run_ci95_high,task_macro_delta,task_ci95_low,task_ci95_high
main_minus_fixed_baseline,top1,0.00398406374501992,0.004863216257128897,-0.01717246054159702,0.02644857206952395,0.005974686179510664,-0.010422655560196711,0.02148915771321664
main_minus_fixed_baseline,utility,0.002076308434788266,0.0047385247436707205,-0.017060791108872136,0.025849640614815577,0.005494121383097159,-0.008503888655465223,0.019741606156476296
task_effect_at_allpair,top1,0.004869411243913236,-0.0027677635436256127,-0.014072389072389073,0.00798050798050798,-0.0034674202881176553,-0.015650277934627265,0.006517420342204021
task_effect_at_allpair,utility,0.00565530603874075,0.0015783828239728888,-0.007426165529616349,0.011765295140726988,0.00166223913643489,-0.005378408680101443,0.007854304650421043
task_effect_at_topcenter,top1,-0.0008853474988933156,0.0007577344786647112,-0.0005202877295900552,0.0029506250436482995,0.00037240430665293585,-0.0011893718828778696,0.0027319673496585045
task_effect_at_topcenter,utility,-0.0006357919856998045,-0.000011852162482461025,-0.002116595988950652,0.0026402457185393277,0.0003882000421334736,-0.0009763552522838794,0.002555819667507273
topcenter_effect_at_global,top1,0.004869411243913236,0.014404864196015428,-0.0020779750773586647,0.03198818930319562,0.003653866681619624,-0.011648736905597416,0.017970949758877683
topcenter_effect_at_global,utility,0.00403079840385175,0.01543018007423842,0.000259318507921616,0.03144958257880652,0.004515877638586287,-0.010503533813691656,0.01896827593681914
topcenter_effect_at_task,top1,-0.0008853474988933156,0.01793036221830575,0.0018574008218855407,0.03438104973079047,0.007493691276390214,-0.008922322377846776,0.024617923640475742
topcenter_effect_at_task,utility,-0.0022602996205888046,0.013839945087783068,-0.0008909912834195651,0.02925517868437407,0.0032418385442848706,-0.012203343597094936,0.017966667306523236
