task,fold,gap_bin,gap_interval,supported,sibling_count,candidate_count,sibling_mean_gap,candidate_mean_gap,fixed_frozen_global_sibling_accuracy,fixed_frozen_global_candidate_accuracy,op_only_lr_sibling_accuracy,op_only_lr_candidate_accuracy,static_lr_sibling_accuracy,static_lr_candidate_accuracy,char_tfidf_lr_sibling_accuracy,char_tfidf_lr_candidate_accuracy
random-acts-of-pizza,0,0,"[0,0.0001)",1,4,10,4e-05,5.1000000000000006e-05,0.25,0.6,0.5,0.5,0.25,0.7,0.5,0.6
random-acts-of-pizza,0,1,"[0.0001,0.0003)",1,3,11,0.00014,0.00016636363636363634,0.6666666666666666,0.6363636363636364,0.5,0.5,0.0,0.45454545454545453,0.3333333333333333,0.6363636363636364
random-acts-of-pizza,0,2,"[0.0003,0.001)",1,10,65,0.0005480000000000001,0.0006624615384615385,0.7,0.5076923076923077,0.5,0.5,0.8,0.46153846153846156,0.6,0.46153846153846156
random-acts-of-pizza,0,3,"[0.001,0.003)",1,13,193,0.0018146153846153846,0.002008652849740933,0.38461538461538464,0.46632124352331605,0.5,0.5,0.46153846153846156,0.48704663212435234,0.5384615384615384,0.5284974093264249
random-acts-of-pizza,0,4,"[0.003,0.01)",1,27,695,0.005704444444444444,0.006520834532374103,0.7777777777777778,0.5525179856115108,0.5,0.5,0.5185185185185185,0.46618705035971225,0.4074074074074074,0.520863309352518
random-acts-of-pizza,0,5,"[0.01,0.03)",1,9,1207,0.01919111111111111,0.01785956089478043,0.4444444444444444,0.6462303231151616,0.5,0.5,0.7777777777777778,0.5310687655343828,0.7777777777777778,0.6031483015741508
random-acts-of-pizza,0,6,"[0.03,0.1)",1,9,4326,0.059016666666666655,0.07476874479889048,0.7777777777777778,0.5737401756819233,0.5,0.5,0.4444444444444444,0.3606102635228849,0.6666666666666666,0.7327785483125289
random-acts-of-pizza,0,7,"[0.1,0.3)",1,1,1035,0.1428,0.11798171014492762,0.0,0.7082125603864734,0.5,0.5,0.0,0.3159420289855073,0.0,0.8763285024154589
random-acts-of-pizza,1,3,"[0.001,0.003)",0,1,0,0.00211,,1.0,,0.5,,0.0,,0.0,
random-acts-of-pizza,1,5,"[0.01,0.03)",1,4,13,0.025955,0.019586923076923075,0.5,0.6153846153846154,0.5,0.5,0.25,0.38461538461538464,0.5,0.6923076923076923
random-acts-of-pizza,1,6,"[0.03,0.1)",1,1,20,0.06378,0.05498700000000001,0.0,0.5,0.5,0.5,0.0,0.4,0.0,0.8
random-acts-of-pizza,1,7,"[0.1,0.3)",1,1,6,0.10545,0.14094833333333331,0.0,0.6666666666666666,0.5,0.5,0.0,0.16666666666666666,1.0,1.0
random-acts-of-pizza,2,0,"[0,0.0001)",1,2,23,2.5e-05,5.130434782608696e-05,0.5,0.4782608695652174,0.5,0.5,1.0,0.391304347826087,1.0,0.6086956521739131
random-acts-of-pizza,2,1,"[0.0001,0.0003)",1,4,52,0.00021999999999999998,0.00019673076923076922,0.75,0.5,0.5,0.5,0.0,0.46153846153846156,0.25,0.4807692307692308
random-acts-of-pizza,2,2,"[0.0003,0.001)",1,9,192,0.00058,0.0006394270833333333,0.7777777777777778,0.5208333333333334,0.5,0.5,0.2222222222222222,0.5729166666666666,0.4444444444444444,0.4375
random-acts-of-pizza,2,3,"[0.001,0.003)",1,33,515,0.0017933333333333336,0.002019961165048545,0.5151515151515151,0.516504854368932,0.5,0.5,0.48484848484848486,0.5106796116504855,0.6060606060606061,0.5106796116504855
random-acts-of-pizza,2,4,"[0.003,0.01)",1,68,1760,0.005737794117647056,0.006355670454545457,0.45588235294117646,0.5619318181818181,0.5,0.5,0.45588235294117646,0.5386363636363637,0.4264705882352941,0.4693181818181818
random-acts-of-pizza,2,5,"[0.01,0.03)",1,42,3164,0.018486190476190476,0.018928347029077135,0.47619047619047616,0.5941845764854614,0.5,0.5,0.38095238095238093,0.5790139064475348,0.40476190476190477,0.48451327433628316
random-acts-of-pizza,2,6,"[0.03,0.1)",1,23,6419,0.053519565217391325,0.06167265306122451,0.391304347826087,0.3653217011995638,0.5,0.5,0.43478260869565216,0.3039414238978034,0.6086956521739131,0.6446486991743262
random-acts-of-pizza,2,7,"[0.1,0.3)",1,16,2372,0.13299687500000001,0.13598864249578424,0.3125,0.6833895446880269,0.5,0.5,0.5,0.6387015177065767,0.5,0.4169477234401349
random-acts-of-pizza,3,3,"[0.001,0.003)",0,1,3,0.00275,0.00176,0.0,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.3333333333333333
random-acts-of-pizza,3,4,"[0.003,0.01)",1,5,6,0.007942000000000001,0.005725000000000001,0.4,1.0,0.5,0.5,0.8,0.0,0.4,0.5
random-acts-of-pizza,3,5,"[0.01,0.03)",1,3,18,0.016966666666666668,0.019090555555555555,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,0.5555555555555556,1.0,0.5555555555555556
random-acts-of-pizza,3,6,"[0.03,0.1)",1,1,8,0.03598,0.033682500000000004,1.0,1.0,0.5,0.5,1.0,0.875,1.0,0.875
random-acts-of-pizza,4,0,"[0,0.0001)",1,2,10,5e-05,4.4999999999999996e-05,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6
random-acts-of-pizza,4,1,"[0.0001,0.0003)",1,3,31,0.00018666666666666666,0.00019387096774193548,0.0,0.6451612903225806,0.5,0.5,0.6666666666666666,0.45161290322580644,0.6666666666666666,0.45161290322580644
random-acts-of-pizza,4,2,"[0.0003,0.001)",1,10,85,0.000588,0.0006436470588235294,0.9,0.49411764705882355,0.5,0.5,0.6,0.5176470588235295,0.8,0.5411764705882353
random-acts-of-pizza,4,3,"[0.001,0.003)",1,29,251,0.0018896551724137932,0.0018876494023904375,0.4482758620689655,0.5418326693227091,0.5,0.5,0.3448275862068966,0.5059760956175299,0.3448275862068966,0.50199203187251
random-acts-of-pizza,4,4,"[0.003,0.01)",1,72,957,0.0062144444444444434,0.006457586206896546,0.5277777777777778,0.5945663531870429,0.5,0.5,0.5277777777777778,0.47648902821316613,0.4305555555555556,0.49216300940438873
random-acts-of-pizza,4,5,"[0.01,0.03)",1,35,1888,0.017668285714285713,0.0188417213983051,0.6285714285714286,0.611228813559322,0.5,0.5,0.4857142857142857,0.5460805084745762,0.4857142857142857,0.461864406779661
random-acts-of-pizza,4,6,"[0.03,0.1)",1,17,11345,0.057188235294117644,0.06619257293962116,0.5294117647058824,0.10868223887174967,0.5,0.5,0.29411764705882354,0.21630674305861614,0.5882352941176471,0.5278977523137947
random-acts-of-pizza,4,7,"[0.1,0.3)",1,3,1098,0.14670666666666665,0.12396374316939904,1.0,0.3451730418943534,0.5,0.5,0.0,0.45081967213114754,0.6666666666666666,0.5519125683060109
spaceship-titanic,0,4,"[0.003,0.01)",1,3,20,0.005743333333333334,0.006033500000000001,0.6666666666666666,0.3,0.5,0.5,0.3333333333333333,0.45,0.3333333333333333,0.7
spaceship-titanic,0,5,"[0.01,0.03)",1,4,18,0.0192525,0.01647611111111111,0.5,0.4444444444444444,0.5,0.5,0.5,0.3888888888888889,1.0,0.7222222222222222
spaceship-titanic,0,6,"[0.03,0.1)",1,1,9,0.05403,0.055686666666666676,0.0,0.0,0.5,0.5,1.0,0.8888888888888888,1.0,1.0
spaceship-titanic,1,3,"[0.001,0.003)",1,3,11,0.0023,0.0016690909090909091,0.6666666666666666,0.6363636363636364,0.5,0.5,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.2727272727272727
spaceship-titanic,1,4,"[0.003,0.01)",1,26,24,0.00610076923076923,0.006414583333333335,0.6923076923076923,0.16666666666666666,0.5,0.5,0.3076923076923077,0.25,0.5384615384615384,0.08333333333333333
spaceship-titanic,1,5,"[0.01,0.03)",1,14,41,0.0115,0.016372195121951216,1.0,0.04878048780487805,0.5,0.5,0.5,0.4634146341463415,0.8571428571428571,0.07317073170731707
spaceship-titanic,1,6,"[0.03,0.1)",1,2,42,0.06264499999999999,0.07126738095238094,0.5,0.4523809523809524,0.5,0.5,0.0,0.6666666666666666,0.5,0.14285714285714285
spaceship-titanic,2,3,"[0.001,0.003)",0,1,0,0.0023,,1.0,,0.5,,1.0,,0.0,
spaceship-titanic,2,4,"[0.003,0.01)",0,2,0,0.00805,,0.0,,0.5,,1.0,,0.5,
spaceship-titanic,2,5,"[0.01,0.03)",0,1,0,0.02069,,0.0,,0.5,,1.0,,1.0,
spaceship-titanic,3,3,"[0.001,0.003)",1,5,23,0.00138,0.0015499999999999997,0.4,0.4782608695652174,0.5,0.5,0.6,0.6086956521739131,1.0,0.5217391304347826
