arm,task,sibling_accuracy,uniform_accuracy,gap_transport_accuracy,total_pairing_inflation,gap_composition_component,topology_residual
static_lr,petfinder-pawpularity-score,0.48423423423423423,0.613701015976542,0.5136277761675319,0.1294667817423078,0.10007323980901017,0.02939354193329763
static_lr,random-acts-of-pizza,0.46187363834422657,0.3888171398498871,0.4887429560416353,-0.07305649849433948,-0.09992581619174823,0.026869317697408746
static_lr,spaceship-titanic,0.4358974358974359,0.44570414655717955,0.3707080706352283,0.009806710659743645,0.07499607592195123,-0.06518936526220759
static_lr,spooky-author-identification,0.5524553571428571,0.560927222315853,0.5134698061597323,0.008471865172995918,0.04745741615612076,-0.03898555098312484
static_lr,tabular-playground-series-dec-2021,0.6842105263157895,0.5014647467725919,0.5054784161320663,-0.1827457795431976,-0.004013669359474448,-0.17873211018372315
static_lr,tabular-playground-series-may-2022,0.591304347826087,0.6308992778855651,0.5611043896142465,0.03959493005947812,0.06979488827131863,-0.030199958211840516
static_lr,text-normalization-challenge-english-language,0.8235294117647058,0.6308243727598566,0.5701641420686656,-0.19270503900484925,0.060660230691190975,-0.25336526969604023
static_lr,text-normalization-challenge-russian-language,0.7894736842105263,0.680870786133944,0.6297513897142069,-0.1086028980765823,0.05111939641973717,-0.15972229449631947
static_lr,tweet-sentiment-extraction,0.5714285714285714,0.0,0.0,-0.5714285714285714,0.0,-0.5714285714285714
static_lr,us-patent-phrase-to-phrase-matching,0.5066225165562914,0.23935528664988348,0.5062684789631705,-0.26726722990640794,-0.26691319231328703,-0.000354037593120915
static_lr,whale-categorization-playground,0.4067796610169492,0.42775517344679576,0.4466098815795426,0.020975512429846577,-0.018854708132746867,0.039830220562593444
char_tfidf_lr,chaii-hindi-and-tamil-question-answering,0.4738292011019284,0.5467678765793968,0.5239634608144911,0.07293867547746846,0.022804415764905772,0.05013425971256269
char_tfidf_lr,denoising-dirty-documents,0.5291005291005291,0.4737068008518025,0.45105081798185276,-0.05539372824872657,0.022655982869949742,-0.07804971111867631
char_tfidf_lr,dog-breed-identification,0.45588235294117646,0.6361046393064577,0.5857693973887589,0.1802222863652812,0.05033524191769878,0.12988704444758242
char_tfidf_lr,google-quest-challenge,0.475,0.5106767842493848,0.5306484847990076,0.03567678424938481,-0.01997170054962283,0.055648484799007636
char_tfidf_lr,histopathologic-cancer-detection,0.6129032258064516,0.27796383121232415,0.42182485554162263,-0.33493939459412747,-0.14386102432929848,-0.191078370264829
char_tfidf_lr,leaf-classification,0.5187319884726225,0.5317113757937416,0.5125425015817613,0.01297938732111914,0.019168874211980325,-0.006189486890861184
char_tfidf_lr,learning-agency-lab-automated-essay-scoring-2,0.5833333333333334,0.5871354228209068,0.5852462352462353,0.0038020894875734346,0.0018891875746714915,0.0019129019129019431
char_tfidf_lr,mlsp-2013-birds,0.44047619047619047,0.5439573424174116,0.5168660629752523,0.1034811519412211,0.027091279442159277,0.07638987249906182
char_tfidf_lr,nomad2018-predict-transparent-conductors,0.49710982658959535,0.6475933923477923,0.5961126565202203,0.150483565758197,0.051480735827572066,0.09900282993062492
char_tfidf_lr,petfinder-pawpularity-score,0.5405405405405406,0.7345752364811549,0.6704022296784954,0.1940346959406143,0.06417300680265947,0.12986168913795482
char_tfidf_lr,random-acts-of-pizza,0.49019607843137253,0.5648616854379204,0.5115813823262569,0.07466560700654784,0.05328030311166343,0.02138530389488441
char_tfidf_lr,spaceship-titanic,0.7051282051282052,0.36303914392674425,0.3518017574988521,-0.34208906120146093,0.011237386427892126,-0.35332644762935306
char_tfidf_lr,spooky-author-identification,0.5602678571428571,0.675295252628234,0.574779948176488,0.11502739548537688,0.10051530445174595,0.014512091033630936
char_tfidf_lr,tabular-playground-series-dec-2021,0.7368421052631579,0.532384670939785,0.49589139402382176,-0.20445743432337282,0.03649327691596327,-0.2409507112393361
char_tfidf_lr,tabular-playground-series-may-2022,0.6260869565217392,0.7639801190156837,0.673320436161033,0.13789316249394457,0.09065968285465076,0.04723347963929381
char_tfidf_lr,text-normalization-challenge-english-language,0.5882352941176471,0.5340501792114696,0.5283220800988383,-0.0541851149061775,0.00572809911263128,-0.05991321401880878
char_tfidf_lr,text-normalization-challenge-russian-language,0.5263157894736842,0.3916083916083916,0.39554420740718915,-0.13470739786529257,-0.003935815798797537,-0.13077158206649503
char_tfidf_lr,tweet-sentiment-extraction,0.2857142857142857,0.9583333333333334,1.0,0.6726190476190477,-0.04166666666666663,0.7142857142857143
char_tfidf_lr,us-patent-phrase-to-phrase-matching,0.48344370860927155,0.8612005872333576,0.5087529454969095,0.377756878624086,0.35244764173644805,0.025309236887637976
char_tfidf_lr,whale-categorization-playground,0.4406779661016949,0.4933716509455841,0.5229289815982495,0.0526936848438892,-0.029557330652665414,0.08225101549655461
