index,case,task,arm,seed,repair_success,status,score,cost_usd,generation_seconds,execution_wall_seconds,generated_code_sha256,target_code_sha256,memory_diff_sha256,job,source_tree,commit
12,4,spaceship-titanic,retrieved_repair,2026091304,False,program_error,,0.003236025,16.298055352992378,11.02317197015509,e44c17e9bb4e168658af3cc1f70baa515c23b748ea6553c5599a922ecde93af9,8d7adb43b65ed1bf75e2d1f54f7bdccd911fa38bdb8381054123779e235e84ab,31d49b26882b3248c83364999f3c451bf6cd06a0d33911c854e7536c5079ab74,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
13,4,spaceship-titanic,random_repair,2026091304,False,program_error,,0.003154515,18.97713929391466,9.96414968976751,34897cef4ebd3df8070861295da98bd33a8f27982eea2035c3fa2d2d8a1944d5,8d7adb43b65ed1bf75e2d1f54f7bdccd911fa38bdb8381054123779e235e84ab,b9b95dc4599fbc8eefc8ea0b9ca31be79578869d32dc4602e37e317232074fa5,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
14,4,spaceship-titanic,no_external_memory,2026091304,False,generation_format_or_syntax_failure,,0.00273117,16.327273526927456,,,8d7adb43b65ed1bf75e2d1f54f7bdccd911fa38bdb8381054123779e235e84ab,,,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
15,5,spaceship-titanic,random_repair,2026091305,False,program_error,,0.002918565,15.790391195914708,10.136245453730226,c6402cfecc1f53a688f402e01a9f0df40224a0bbb4a0adc7c82bcd7bd4256930,cfcf0445e91f4ab5e68579d144657c94e87224c4fa691c08db21382e53f50a8f,b9b95dc4599fbc8eefc8ea0b9ca31be79578869d32dc4602e37e317232074fa5,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
16,5,spaceship-titanic,no_external_memory,2026091305,False,program_error,,0.002774655,14.675148937967606,9.470260690432042,0fc61404eb44a96cdca4a10790779d9df1cd7e4950316962300ce13fbc498cac,cfcf0445e91f4ab5e68579d144657c94e87224c4fa691c08db21382e53f50a8f,,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
17,5,spaceship-titanic,retrieved_repair,2026091305,False,program_error,,0.002359461,14.771606863010675,10.26202288409695,c6402cfecc1f53a688f402e01a9f0df40224a0bbb4a0adc7c82bcd7bd4256930,cfcf0445e91f4ab5e68579d144657c94e87224c4fa691c08db21382e53f50a8f,b9b95dc4599fbc8eefc8ea0b9ca31be79578869d32dc4602e37e317232074fa5,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
18,6,spaceship-titanic,no_external_memory,2026091306,False,program_error,,0.003169413,21.337406627018936,11.05791152594611,a4cd9585e441f8aa981a6f7c2af94b728d2daaeeda3ed61ca911dc4908df8319,d4028443b0d3ba1234a1f46db0e7c44d0226d652561f757e1b88c4ee9f3ae583,,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
19,6,spaceship-titanic,retrieved_repair,2026091306,False,program_error,,0.003757455,22.110375802963972,10.663717442192137,2197b8238092078eeac1298bdcdbb63879c188439d176b07994349c3c2e17ecb,d4028443b0d3ba1234a1f46db0e7c44d0226d652561f757e1b88c4ee9f3ae583,b9b95dc4599fbc8eefc8ea0b9ca31be79578869d32dc4602e37e317232074fa5,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
20,6,spaceship-titanic,random_repair,2026091306,False,program_error,,0.003587493,21.973976960987784,10.543656528927386,f9651112470ad7ce62a42b7743a3073b673c6f8c29194013edf372a7b165e385,d4028443b0d3ba1234a1f46db0e7c44d0226d652561f757e1b88c4ee9f3ae583,b8a6bb87c489a3cf0dcdbafe42431ca18bc036679ecb829c1edf4c6b6c90cdab,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
21,7,spaceship-titanic,retrieved_repair,2026091307,False,program_error,,0.002296788,17.095904991030693,9.641386129893363,a20d97b84a419c633ae62cf10f00770c36d0abb020d3e6d6147e4894d93006ec,89b5ea071d357ceb898ec0d12bc9c516195a7a682d731a571acba8495607b995,d426d4c3010689461aab9d067c1bfbd9989b6ccce0c6239bcbef0cd38bde1f4c,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
22,7,spaceship-titanic,random_repair,2026091307,False,program_error,,0.002775825,14.640786703908816,9.612770427949727,a20d97b84a419c633ae62cf10f00770c36d0abb020d3e6d6147e4894d93006ec,89b5ea071d357ceb898ec0d12bc9c516195a7a682d731a571acba8495607b995,d20c2e5ecb16968b25e4b224c731530f5dd322eef4336a5e1c63f13af1cf5c9d,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
23,7,spaceship-titanic,no_external_memory,2026091307,False,program_error,,0.002445495,14.487424960010685,9.556630467064679,05022ad0cb458843714cd0e8a46faf7b45fe22fb08a1cb64427eae7d0ed7ddf3,89b5ea071d357ceb898ec0d12bc9c516195a7a682d731a571acba8495607b995,,13257,746d97a67922896b7d1581c4689f8b5f85204d30,dc92d2e15f44444abfffe799fe4c4ca9f51cb5c4
